applied_at,video_id,clip_id,action,confidence,patch_count,text_before,text_after,reason,notes
2026-07-08T13:06:43Z,Yqe3Z8zVS_A,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0000,patch,medium,1,bienvenida a una anécdota graciosa hoy les voy a contar una historia real como se dice story time algo que es real algo que pasó y que realmente casi terminó,"bienvenidos amigos, ¿cómo están? Les doy la bienvenida a una anécdota graciosa. Hoy les voy a contar una historia real, como se dice story time, algo que es real, algo que pasó y que realmente casi terminó",Se recupera el arranque omitido por large/turbo usando baseline y continuidad contextual; el resto coincide entre large y turbo.,Patch conservador del inicio; no se agrega información fuera del saludo registrado.
2026-07-08T13:06:43Z,Yqe3Z8zVS_A,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0001,patch,medium,1,De una manera muy trágica Porque fue un cago de risa Lo que pasó Es una de las anécdotas De las experiencias Que me han pasado en la vida Más raras Y quédense hasta el final del video Porque no lo van a ver,"de una manera muy trágica porque fue un cago de risa lo que pasó. Es una de las anécdotas, de las experiencias que me han pasado en la vida más raras. Y quédense hasta el final del video porque no lo van a poder creer","Corrección puntual de 'no lo van a ver' a la fórmula contextual 'no lo van a poder creer', apoyada por baseline y sentido de la frase.",Se mantiene el resto de large; turbo queda truncado al final.
2026-07-08T13:06:43Z,Yqe3Z8zVS_A,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0002,patch,medium,1,"Paso eso, antes que nada muchas gracias por Darnos un like al video, compartirlo con sus amigos Suscribirse al canal, activar la campanita, todo eso que ustedes saben Así que ponete comodo, comoda ahí en tu casa","pasó eso. Antes que nada, muchas gracias por darnos un like al video, compartirlo con sus amigos, suscribirte al canal, activar la campanita, todo eso que ustedes saben. Así que ponete cómodo, cómoda ahí en tu casa",Se corrige 'Suscribirse' a 'suscribirte' con evidencia de turbo y se normalizan tildes/puntuación mínima.,No se agrega el posible inicio omitido porque large/turbo no lo sostienen.
2026-07-08T13:06:43Z,Yqe3Z8zVS_A,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0003,patch,high,1,"Porque te voy a contar el día que casi mato a mi tío A ver, no soy un asesino Pero lo que pasó provocó que él casi pierda la vida Así que empezamos Vamos a ver","porque te voy a contar el día que casi mato a mi tío. A ver, no soy un asesino, pero lo que pasó provocó que él casi pierda la vida. Así que empezamos. Vamos a empezar",'Vamos a ver' se corrige a 'Vamos a empezar' por baseline y continuidad con el clip siguiente ('empezar por el principio').,Cambio puntual; se conserva el contenido de large.
2026-07-08T13:06:43Z,Yqe3Z8zVS_A,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0004,patch,medium,1,empezar por el principio obviamente para que entiendan bien la historia cómo fue qué pasó con quién estaba qué edad tenía cuando actualmente no me voy de vacaciones mucho con familias y cada,"empezar por el principio obviamente para que entiendan bien la historia, cómo fue, qué pasó, con quién estaba, qué edad tenía cuando actualmente no me voy de vacaciones mucho con familia, sí, cada","'familias y cada' se corrige a 'familia, sí, cada' por baseline y continuidad con el clip siguiente ('tanto').",Se mantiene el corte final en 'cada' sin completar más allá del clip.
2026-07-08T13:06:43Z,Yqe3Z8zVS_A,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0005,patch,medium,1,tanto un momento del verano capaz coincidimos están mis abuelos a mi mamá o mi papá mi hermano y es porque bueno pasó el tiempo soy más grande no vacacionamos en familia todos juntos a,"tanto un momento del verano capaz coincidimos, están mis abuelos, va mi mamá o mi papá, mi hermano, y es porque bueno pasó el tiempo, soy más grande, no vacacionamos en familia todos juntos",'a mi mamá' se corrige a 'va mi mamá' con evidencia de turbo; se elimina el arrastre final dudoso 'a' no sostenido por turbo.,Se mantiene el inicio fragmentario porque continúa el 'cada' del clip anterior.
2026-07-08T13:06:43Z,Yqe3Z8zVS_A,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0006,patch,medium,1,"voy con amigos, así que cuando yo era chiquitito estoy hablando de cuando tenía menos de 10 años era un momento que íbamos de vacaciones todo el tiempo con mi familia y uno de nuestros lugares favoritos para ir a vacaciones","voy con amigos, así que cuando yo era chiquitito, estoy hablando de cuando tenía menos de 10 años, era un momento que íbamos de vacaciones todo el tiempo con mi familia y uno de nuestros lugares favoritos para ir de vacaciones",'para ir a vacaciones' se corrige a 'para ir de vacaciones' por colocación natural y contexto; turbo omite ese tramo.,No se reconstruye el posible inicio anterior al clip.
2026-07-08T13:06:43Z,Yqe3Z8zVS_A,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0008,keep,medium,0,país de argentina así que en ese momento con mi familia íbamos todo el tiempo y la verdad que me encantaba y yo en ese momento no tenía mi hermano yo era chiquitito mi hermano todavía no existía,país de argentina así que en ese momento con mi familia íbamos todo el tiempo y la verdad que me encantaba y yo en ese momento no tenía mi hermano yo era chiquitito mi hermano todavía no existía,Large y turbo coinciden casi completamente; no hay corrección segura sin audio.,Se conserva la formulación no ideal 'país de argentina' por falta de evidencia suficiente.
2026-07-08T13:06:43Z,Yqe3Z8zVS_A,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0009,patch,medium,1,momento se empezó a sumar a estas vacaciones estos viajes mi tío acá es cuando aparece en la historia en la anécdota y porque casi muere un día no bueno resulta que mi tío se empezó a,"momento se empezó a sumar a estas vacaciones, a estos viajes, mi tío, y acá es cuando aparece en la historia, en la anécdota y por qué casi muere un día, no. Bueno, resulta que mi tío se empezó a",Se agregan preposiciones/conector sostenidos por turbo y baseline: 'a estos viajes' y 'y acá'.,Se conserva el inicio y final fragmentarios propios del corte.
2026-07-08T13:06:43Z,Yqe3Z8zVS_A,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0013,patch,high,1,acostumbramos a hacer muchas excursiones nos encantaba porque bueno había que recorrer el lugar así que me acuerdo perfecto el día de este accidente que excursión teníamos ese día habíamos,"nos acostumbrábamos a hacer muchas excursiones, nos encantaba porque bueno había que recorrer el lugar, así que me acuerdo perfecto el día de este accidente qué excursión teníamos ese día. Habíamos",'acostumbramos' se corrige a 'nos acostumbrábamos' con evidencia de turbo y baseline; se conserva el resto de large.,No se completa después de 'Habíamos'.
