source_id,clip_id,clip_name,large_text,turbo_text,cer,wer,length_ratio,status,notes
f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0001,clip_0001,contexto argentina selección 2014 el maestro sabela al frente de la selección argentina parecía que no dábamos ni dos mangos la primera ronda de motos acuerda en el partido con irán que,contexto argentina selección 2014 el maestro sabela al frente de la selección argentina parecía que no dábamos ni dos mangos en la primera ronda el moto se acuerda en el partido con irán que,0.0378,0.125,1.027,computed,
f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0002,clip_0002,"nos salva Messi. Cuestión, yo voy a ser sincero, yo tampoco tenía tanta fe en la selección. Lo bancaba Isabela, pero había cositas que no me gustaban. Bueno, como somos los argentinos, eso tengo que...",No salva Messi. Cuestión. Yo voy a ser sincero. Yo tampoco tenía tanta fe en la selección. Lo bancaba a Sabela. Pero había cositas que no me gustaban. Bueno. Como somos los argentinos. Eso tengo que saber.,0.0474,0.1143,1.0316,computed,
f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0003,clip_0003,"con Holanda, nos juntábamos todos los Bader a ver el partido, estábamos en","con Holanda, nos juntábamos todos los Vader a ver el partido, estábamos en",0.0139,0.0769,1.0,computed,
f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0006,clip_0006,"discutíamos, entonces contra Holanda me dice, hagamos una cosa si le ganamos a Holanda nos vamos a Brasil, a ver la final","discutíamos. Entonces, contra Holanda me dice, hagamos una cosa si le ganamos a Holanda nos vamos a Brasil, a ver la final",0.0,0.0,1.0,computed,
f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0007,clip_0007,"Entonces yo agarro y digo, sí, porque, o sea, yo no creía que le vayamos a ganar a Holanda, acuérdense que ese Holanda fue el que hizo el gol de Palomita, no me acuerdo, ay, ahora no me acuerdo, Robben, no, sí creo que fue.","Entonces yo agarro y digo, sí, porque, o sea, yo no creía que le vayamos a ganar a Holanda, acuérdense que ese Holanda fue el que hizo el gol de Palomita, no me acuerdo, ahora no me dice, Robben, no, sí creo que fue.",0.0427,0.0444,0.9716,computed,
f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0008,clip_0008,"de Robben. Tenían una máquina increíble Holanda. Van Persie. Cuestión que le digo, no tengo. Sí, bueno, sí, le digo sí, sí, dale. Si le ganamos a Holanda, vamos a jugar así.",de roben que tenían una en una máquina increíble holanda van persi cuestión que leo no tengo sí bueno sí leo sí sí dale si llegamos la tomo ahora sí,0.2562,0.5312,0.925,computed,
f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0009,clip_0009,"Yo la tiré por tirarla. Bueno, entonces vamos a penales, cuando ganamos, todos obviamente, festejando, que se yo y me dice, no vamos a tener que ir a Brasil. Bueno, si, está",yo la tiré por tirarla bueno entonces vamos a penales cuando ganamos todos obviamente festejando que se yo y me dice no vamos a tener que ver así bueno si está bien,0.0798,0.125,1.0061,computed,
f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0012,clip_0012,"buscar pasaje. Empezamos a buscar pasaje, que sí, que nos vamos a Brasil, que nos vamos a Brasil, que tengo que ir a otro vuelo, nos vamos a Brasil. Bueno,","Buscar pasaje. Empezamos a buscar pasaje, que sí, que no vamos a Brasil, que no vamos a Brasil, que tengo que ir a otro vuelo, no vamos a Brasil. Bueno,",0.0204,0.1,0.9796,computed,
f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0013,clip_0013,"empezamos a sacar cuentas, no vamos a comprar el aéreo bueno, cuando digo no, ya está todo agotado, no hay nada no hay nada para...",empezamos a sacar cuenta no vamos a comprar el aéreo bueno cuando digo no ya está todo agotado no hay nada no hay nada para para,0.0484,0.08,1.0323,computed,
f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0014,clip_0014,para irnos. Aparece la hermana de Amilcar y dice encontré un vuelo nos manda el link yo como un pelotudo agarro,para irnos aparece la hermana de Amilcar y dice encontré un vuelo nos manda el link yo como un pelotudo agarro,0.0,0.0,1.0,computed,
