experiment,source_id,clip,split,training_usability,policy_moderate,preprocessing_variant,transcript_variant,reference,hypothesis,wer,cer
E4_all_combined,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0001,test,questionable,keep,lower_face_resized96,transcript_cleaned_stronger,ok estamos en vivo acabo de subir un video nuevo a mi canal de youtube sobre el curupi,ahora estaba siempre baja habia sobre un viejo jugador me cae un sobre el culpe,0.833333,0.608696
E4_all_combined,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0000,test,usable,keep,lower_face_resized96,transcript_cleaned_stronger,holi holis bellos mios como estan soy yo,hoy yo creo que me sorprendio como estoy yo,1.000000,0.666667
E4_all_combined,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0002,test,usable,keep,lower_face_resized96,transcript_cleaned_stronger,es un mito paraguayo lo deberian ver,es un petro para ballos o que me caba,1.000000,0.566667
E4_all_combined,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0001,test,usable,keep,lower_face_resized96,transcript_cleaned_stronger,la señora elfa y hoy en el video de la fecha vamos a hablar de anecdotas de pueblos,la señora y luz ahi hoy en el video de la ficha vamos a hablar de alerto tarde pueblo,0.388889,0.166667
E4_all_combined,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0003,test,usable,keep,lower_face_resized96,transcript_cleaned_stronger,pero bueno creo que estamos con 7 dias seguidos haciendo lives,pero bueno creo que estamos los diches de las argentinas tenian rechazos haciendo real,0.727273,0.673077
E4_all_combined,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0002,test,usable,keep,lower_face_resized96,transcript_cleaned_stronger,ustedes me mandaron sus anecdotas de pueblo a djforanachorracom,me van a los anotas de pueblo a decir buenas chorras no hace,1.111111,0.527273
E4_all_combined,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0004,test,usable,keep,lower_face_resized96,transcript_cleaned_stronger,que buena onda espero que la esten disfrutando como yo,mas claro a recontra pero que hace disfrutando como yo,0.700000,0.444444
E4_all_combined,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0003,test,usable,keep,lower_face_resized96,transcript_cleaned_stronger,sobre infidelidades cosas de pueblo vieron lo que pasa en el pueblo queda en el pueblo,filidad de otras despues bueno pero y pasaremos lo que el bueno,0.875000,0.577465
E4_all_combined,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0005,test,usable,keep,lower_face_resized96,transcript_cleaned_stronger,que haces andy todo bien como va la gente mientras todos estan entrando,yo tenga tres antigues no voy a la gente me invitan todo esta clicando,0.923077,0.508475
E4_all_combined,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0004,test,questionable,keep,lower_face_resized96,transcript_cleaned_stronger,ademas pasan cosas terribles en el pueblo y una que tiene que hacer irse del pueblo,tambien pasaros a gente que me sabe muy bueno una que se que hace que se despues,0.875000,0.529412
E4_all_combined,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0006,test,usable,keep,lower_face_resized96,transcript_cleaned_stronger,queria contarles una anecdota muy graciosa que haces moni que haces rama valen ana,en la claro tarde suena las totales muy clasicosas que hacen voy que salen capa valen al,0.928571,0.492754
E4_all_combined,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0005,test,usable,keep,lower_face_resized96,transcript_cleaned_stronger,muchas historias tragicas cosas que van a entender los que son de pueblo,pues hicieron las tardes los animales de lo que son despues,0.846154,0.550000
E4_all_combined,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0007,test,usable,keep,lower_face_resized96,transcript_cleaned_stronger,que buena onda que todos entran asi tan rapido enzo maximo lorito dominic marcelo tuti,que vengo a tratar dos entre gracias al gran pero el chop marchismo correcto sospere barcelano o subir,1.133333,0.638889
E4_all_combined,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0006,test,usable,keep,lower_face_resized96,transcript_cleaned_stronger,yo elegi las mejores anecdotas que me mandaron y ahora voy a reaccionar,bueno yo quiere amigo ya no tener mi vida no le quita que voy a realizar no,1.076923,0.711864
