dataset_group,source_id,clip_id,split,large_text,turbo_text,clean_text,clean_status,clean_confidence,patch_count,needs_review_reason,mp4_path,npz_path,txt_large_path,txt_turbo_path,txt_clean_path,url,title,channel,notes
argentina/existing,f15__LE_DIJE_QUE_SOY_ARGENTINO_-_Story_Time_-_CAP_91,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0001,test,ok estamos en vivo acabo de subir un video nuevo a mi canal de youtube sobre el curupi,,ok estamos en vivo acabo de subir un video nuevo a mi canal de youtube sobre el curupi,unchanged_no_llm_baseline,low,0,llm_browser_not_run;turbo_blocked_no_audio_in_roi_mp4,gs://labios-argentos-vsr-clean-v1/argentina/existing/clips_mp4/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0001.mp4,gs://labios-argentos-vsr-clean-v1/argentina/existing/rois_npz/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0001.npz,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0001.txt,,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/clean_v1/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0001.txt,,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,,clean_v1 mirrors large_existing until GPT patches are validated
argentina/existing,f15__LE_DIJE_QUE_SOY_ARGENTINO_-_Story_Time_-_CAP_91,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0002,test,es un mito paraguayo lo deberian ver,,es un mito paraguayo lo deberian ver,unchanged_no_llm_baseline,low,0,llm_browser_not_run;turbo_blocked_no_audio_in_roi_mp4,gs://labios-argentos-vsr-clean-v1/argentina/existing/clips_mp4/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0002.mp4,gs://labios-argentos-vsr-clean-v1/argentina/existing/rois_npz/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0002.npz,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0002.txt,,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/clean_v1/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0002.txt,,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,,clean_v1 mirrors large_existing until GPT patches are validated
argentina/existing,f15__LE_DIJE_QUE_SOY_ARGENTINO_-_Story_Time_-_CAP_91,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0003,test,pero bueno creo que estamos con 7 dias seguidos haciendo lives,,pero bueno creo que estamos con 7 dias seguidos haciendo lives,unchanged_no_llm_baseline,low,0,llm_browser_not_run;turbo_blocked_no_audio_in_roi_mp4,gs://labios-argentos-vsr-clean-v1/argentina/existing/clips_mp4/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0003.mp4,gs://labios-argentos-vsr-clean-v1/argentina/existing/rois_npz/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0003.npz,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0003.txt,,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/clean_v1/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0003.txt,,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,,clean_v1 mirrors large_existing until GPT patches are validated
argentina/existing,f15__LE_DIJE_QUE_SOY_ARGENTINO_-_Story_Time_-_CAP_91,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0004,test,que buena onda espero que la esten disfrutando como yo,,que buena onda espero que la esten disfrutando como yo,unchanged_no_llm_baseline,low,0,llm_browser_not_run;turbo_blocked_no_audio_in_roi_mp4,gs://labios-argentos-vsr-clean-v1/argentina/existing/clips_mp4/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0004.mp4,gs://labios-argentos-vsr-clean-v1/argentina/existing/rois_npz/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0004.npz,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0004.txt,,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/clean_v1/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0004.txt,,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,,clean_v1 mirrors large_existing until GPT patches are validated
argentina/existing,f15__LE_DIJE_QUE_SOY_ARGENTINO_-_Story_Time_-_CAP_91,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0005,test,que haces andy todo bien como va la gente mientras todos estan entrando,,que haces andy todo bien como va la gente mientras todos estan entrando,unchanged_no_llm_baseline,low,0,llm_browser_not_run;turbo_blocked_no_audio_in_roi_mp4,gs://labios-argentos-vsr-clean-v1/argentina/existing/clips_mp4/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0005.mp4,gs://labios-argentos-vsr-clean-v1/argentina/existing/rois_npz/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0005.npz,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0005.txt,,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/clean_v1/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0005.txt,,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,,clean_v1 mirrors large_existing until GPT patches are validated
argentina/existing,f15__LE_DIJE_QUE_SOY_ARGENTINO_-_Story_Time_-_CAP_91,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0006,test,queria contarles una anecdota muy graciosa que haces moni que haces rama valen ana,,queria contarles una anecdota muy graciosa que haces moni que haces rama valen ana,unchanged_no_llm_baseline,low,0,llm_browser_not_run;turbo_blocked_no_audio_in_roi_mp4,gs://labios-argentos-vsr-clean-v1/argentina/existing/clips_mp4/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0006.mp4,gs://labios-argentos-vsr-clean-v1/argentina/existing/rois_npz/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0006.npz,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0006.txt,,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/clean_v1/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0006.txt,,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,,clean_v1 mirrors large_existing until GPT patches are validated
argentina/existing,f15__LE_DIJE_QUE_SOY_ARGENTINO_-_Story_Time_-_CAP_91,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0007,test,que buena onda que todos entran asi tan rapido enzo maximo lorito dominic marcelo tuti,,que buena onda que todos entran asi tan rapido enzo maximo lorito dominic marcelo tuti,unchanged_no_llm_baseline,low,0,llm_browser_not_run;turbo_blocked_no_audio_in_roi_mp4,gs://labios-argentos-vsr-clean-v1/argentina/existing/clips_mp4/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0007.mp4,gs://labios-argentos-vsr-clean-v1/argentina/existing/rois_npz/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0007.npz,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0007.txt,,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/clean_v1/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0007.txt,,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,,clean_v1 mirrors large_existing until GPT patches are validated
argentina/existing,f15__LE_DIJE_QUE_SOY_ARGENTINO_-_Story_Time_-_CAP_91,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0008,test,bueno vamos a arrancar con esto les queria contar una anecdota muy graciosa en mi vida,,bueno vamos a arrancar con esto les queria contar una anecdota muy graciosa en mi vida,unchanged_no_llm_baseline,low,0,llm_browser_not_run;turbo_blocked_no_audio_in_roi_mp4,gs://labios-argentos-vsr-clean-v1/argentina/existing/clips_mp4/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0008.mp4,gs://labios-argentos-vsr-clean-v1/argentina/existing/rois_npz/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0008.npz,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0008.txt,,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/clean_v1/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0008.txt,,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,,clean_v1 mirrors large_existing until GPT patches are validated
argentina/existing,f15__LE_DIJE_QUE_SOY_ARGENTINO_-_Story_Time_-_CAP_91,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0009,test,donde ser argentino o por lo menos mentir y decirles que soy argentino me salvo la vida,,donde ser argentino o por lo menos mentir y decirles que soy argentino me salvo la vida,unchanged_no_llm_baseline,low,0,llm_browser_not_run;turbo_blocked_no_audio_in_roi_mp4,gs://labios-argentos-vsr-clean-v1/argentina/existing/clips_mp4/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0009.mp4,gs://labios-argentos-vsr-clean-v1/argentina/existing/rois_npz/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0009.npz,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0009.txt,,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/clean_v1/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0009.txt,,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,,clean_v1 mirrors large_existing until GPT patches are validated
argentina/existing,f15__LE_DIJE_QUE_SOY_ARGENTINO_-_Story_Time_-_CAP_91,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0010,test,basicamente una vez hace ponele no se 4 o 5 años,,basicamente una vez hace ponele no se 4 o 5 años,unchanged_no_llm_baseline,low,0,llm_browser_not_run;turbo_blocked_no_audio_in_roi_mp4,gs://labios-argentos-vsr-clean-v1/argentina/existing/clips_mp4/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0010.mp4,gs://labios-argentos-vsr-clean-v1/argentina/existing/rois_npz/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0010.npz,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0010.txt,,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/clean_v1/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0010.txt,,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,,clean_v1 mirrors large_existing until GPT patches are validated
