titulo,clip,n_frames,luma_media,frac_oscuros,movimiento_global,actividad_boca,textura_boca,estado,razones,texto
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0000,194,108.12,0.0,3.67,12.11,23.69,keep,,bueno amigos esta es una anecdota muy especial porque es un gran recuerdo y la posta es que creo que creo haberla contado alguna vez
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0001,126,107.03,0.0,3.295,9.721,18.74,keep,,y en mixer creo que fue entonces se perdieron muchas transmisiones incluso se perdieron a eduqui y neo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0002,100,112.64,0.0,3.309,11.427,25.64,keep,,pero creo que habia que darla con detalles con fotos de como fue el viaje y demas
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0003,114,111.81,0.0,3.121,11.003,29.22,keep,,les comento los pongo en contexto argentina seleccion 2014
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0004,164,110.76,0.0,3.139,12.02,24.6,keep,,el maestro zabela al frente de la seleccion argentina parecia que no daba moneda dos mangos en la primera ronda
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0005,150,110.42,0.0,2.813,9.597,21.76,keep,,los motos se acuerdan el partido con iran que nos salva messi cuestion yo voy a ser sincero yo tampoco tenia tanta fe en la seleccion
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0006,108,109.06,0.0,2.807,10.479,25.07,keep,,lo bancaba zabela pero habia cositas que no me gustaba
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0007,195,111.66,0.0,2.968,11.038,23.52,keep,,bueno como somos los argentinos tengo que ser honesto cuestion que jugabamos con holanda nos juntabamos todos los vader a ver el partido
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0008,141,111.0,0.0,3.049,10.323,23.05,keep,,estabamos en la casa de milcar ya antes del partido me decia nada porque vos momo que toque el otro
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0009,129,110.4,0.0,3.398,9.815,22.67,keep,,da legero que la concha de tu madre yo discutiendo con juancito que en los dos siempre discutimos
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0010,177,107.4,0.0,3.309,10.581,19.01,keep,,entonces contra holanda me dice hagamos una cosa si le ganamos a holanda nos vamos a brasil a ver la final
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0011,194,110.11,0.0,2.511,9.188,20.98,keep,,yo habia ruido porque yo no creia que le vayamos a ganar a holanda acuerdense que ese holanda fue el que hizo el gol de palomita
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0012,169,108.33,0.0,2.407,8.863,20.48,keep,,no me acuerdo ahora no me lo he visto no si creo que fue el gol de robben que tenian una maquina increible holanda
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0013,168,107.84,0.0,3.147,11.854,20.61,keep,,van persi cuestion que le digo no tengo si bueno si le digo si si le ganamos a holanda vamos a brasil
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0014,153,108.09,0.0,3.092,10.421,18.6,keep,,yo la tire por tirarla bueno entonces vamos a penale cuando va a ver a tu hijo que ganamos todos
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0015,194,110.41,0.0,2.748,10.009,19.24,keep,,obviamente festejando que se yo y me dice no vamos a tener a brasil bueno si esta bien yo siempre que digo algo lo cumplo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0016,138,109.3,0.0,3.417,11.004,22.85,keep,,lo miro a milcar y bueno no vamos a brasil bueno no vamos a brasil ya arranco como la mierda estabamos en lo de a milcar
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0017,166,111.82,0.0,3.835,12.331,22.53,keep,,claro cuando vimos todo eso todo empezando a buscar pasaje empezamos a buscar pasaje que si que no vamos a brasil que no vamos a brasil que toque el otro gol no vamos a brasil
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0018,229,109.54,0.0,3.564,12.422,20.87,keep,,bueno empezamos a sacar cuentas no vamos a comprar el aire bueno cuando digo no ya esta todo agotado no hay nada no hay nada para irnos
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0019,177,107.8,0.0,3.333,12.681,23.17,keep,,aparece la hermana de a milcar y dice encontre un vuelo nos manda el link yo como un pelotudo agarro ni mire
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0020,252,112.32,0.0,2.954,10.728,19.1,keep,,ponele que el partido era miercoles 24 y el lunes podiamos volar entonces era lunes 22 lunes 22 martes 23 y miercoles 24 lunes 22
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0021,220,108.41,0.0,3.343,11.039,21.33,keep,,entonces buscamos para sacar lunes 22 miro asi lunes 22 voy compro el pasaje un termino para el pasaje era ponele nosotros estamos jugando el mundial no me acuerdo fue junio ponele
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0022,298,108.8,0.0,3.153,12.701,19.86,keep,,el pasaje era el lunes 22 de octubre cuando me llegue a la notificacion de que compro un pasaje boludo compro un pasaje en octubre todos cagandose de risa sos un pelotudo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0023,388,111.52,0.0,3.469,12.233,21.91,keep,,y luciano me miraba y me decia al hubeo el de la anecdota me decia oh brasil temporada baja hermoso vos sos pelotudo luciano le digo hermoso la es pelota boludo acabo de comprarme acabo de meter no se cuantos miles de pesos en el horto boludo no brasil en temporada baja hermoso
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0024,195,108.3,0.0,3.863,11.029,21.1,keep,,vos sos un tarado le digo ahora que mierda hago en el pasaje no me van a devolver la plata hermoso en temporada baja andar a concha a tu madre luciano le digo sos un tarado
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0025,262,111.02,0.0,4.31,12.847,24.12,keep,,bueno a todo esto todos cagandose de risa de que ya habia gastado 15 mil 20 mil pesos al pedo ya empece a hacer el reclamo de en un se que la tarjeta la habia perdido que me hicieron el piching no se que mierda
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0026,150,110.98,0.0,3.753,11.747,23.19,keep,,cagando en la puteda de la hermana de amilca de ligo veronica como me vas a mandar un link de un pasaje en octubre cuando vole en junio
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0027,158,108.3,0.0,2.985,9.944,20.01,keep,,bueno cuestion que claro no terminaba mas todo burlandose bueno tenian razon era un pelotudo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0028,275,108.9,0.0,3.009,10.062,19.77,keep,,cuestion que agarro y me dice bueno vamos en auto yo tenia el goltren amigo yo esta todo bien pero en el goltren no llegamos ni a palo o sea y re incomodo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0029,233,108.39,0.0,2.91,8.956,19.22,keep,,hacemos 10 horas de viaje y tenemos que operar de la columna a la mitad del auto o sea no podemos era a rio de janeiro en un goltren
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0030,162,108.41,0.0,3.099,10.171,19.65,keep,,bueno dice discutiendo en cual vamos bueno a ver quien se sube eramos a milcar luciano juancito y yo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0031,250,110.28,0.0,3.076,10.776,21.45,keep,,vamos 4 bueno listo vamos 4 faltando un dia se baja a milcar no que no se a mi me ha pedido el trabajo voludo tenemos que ir
