source_id,clip,split,current_text,asr2_text,wer_current_vs_asr2,cer_current_vs_asr2,token_diff_summary,disagreement_level,reasons
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0001,test,ok estamos en vivo acabo de subir un video nuevo a mi canal de youtube sobre el curupi,,1.000000,1.000000,delete: 'ok estamos en vivo acabo de subir un video nuevo a mi canal ' -> '',blocked,asr2_blocked;blocked_missing_asr_dependency
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0002,test,es un mito paraguayo lo deberian ver,,1.000000,1.000000,delete: 'es un mito paraguayo lo deberian ver' -> '',blocked,asr2_blocked;blocked_missing_asr_dependency
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0003,test,pero bueno creo que estamos con 7 dias seguidos haciendo lives,,1.000000,1.000000,delete: 'pero bueno creo que estamos con 7 dias seguidos haciendo liv' -> '',blocked,asr2_blocked;blocked_missing_asr_dependency
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0004,test,que buena onda espero que la esten disfrutando como yo,,1.000000,1.000000,delete: 'que buena onda espero que la esten disfrutando como yo' -> '',blocked,asr2_blocked;blocked_missing_asr_dependency
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0005,test,que haces andy todo bien como va la gente mientras todos estan entrando,,1.000000,1.000000,delete: 'que haces andy todo bien como va la gente mientras todos est' -> '',blocked,asr2_blocked;blocked_missing_asr_dependency
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0006,test,queria contarles una anecdota muy graciosa que haces moni que haces rama valen ana,,1.000000,1.000000,delete: 'queria contarles una anecdota muy graciosa que haces moni qu' -> '',blocked,asr2_blocked;blocked_missing_asr_dependency
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0007,test,que buena onda que todos entran asi tan rapido enzo maximo lorito dominic marcelo tuti,,1.000000,1.000000,delete: 'que buena onda que todos entran asi tan rapido enzo maximo l' -> '',blocked,asr2_blocked;blocked_missing_asr_dependency
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0008,test,bueno vamos a arrancar con esto les queria contar una anecdota muy graciosa en mi vida,,1.000000,1.000000,delete: 'bueno vamos a arrancar con esto les queria contar una anecdo' -> '',blocked,asr2_blocked;blocked_missing_asr_dependency
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0009,test,donde ser argentino o por lo menos mentir y decirles que soy argentino me salvo la vida,,1.000000,1.000000,delete: 'donde ser argentino o por lo menos mentir y decirles que soy' -> '',blocked,asr2_blocked;blocked_missing_asr_dependency
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0010,test,basicamente una vez hace ponele no se 4 o 5 años,,1.000000,1.000000,delete: 'basicamente una vez hace ponele no se 4 o 5 años' -> '',blocked,asr2_blocked;blocked_missing_asr_dependency
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0011,test,fui a viaje a montreal quebec canada,,1.000000,1.000000,delete: 'fui a viaje a montreal quebec canada' -> '',blocked,asr2_blocked;blocked_missing_asr_dependency
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0012,test,donde se habla frances no una ciudad super super linda,,1.000000,1.000000,delete: 'donde se habla frances no una ciudad super super linda' -> '',blocked,asr2_blocked;blocked_missing_asr_dependency
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0013,test,tengo varios amigos que viven en montreal especialmente en montreal  especialmente durante el verano en montreal,,1.000000,1.000000,delete: 'tengo varios amigos que viven en montreal especialmente en m' -> '',blocked,asr2_blocked;blocked_missing_asr_dependency
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0014,test,es espectacular y deberian ir a montreal por favor,,1.000000,1.000000,delete: 'es espectacular y deberian ir a montreal por favor' -> '',blocked,asr2_blocked;blocked_missing_asr_dependency
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0015,test,bueno les cuento ni bien llegaba al hotel donde me estaba quedando en montreal con mis amigos,,1.000000,1.000000,delete: 'bueno les cuento ni bien llegaba al hotel donde me estaba qu' -> '',blocked,asr2_blocked;blocked_missing_asr_dependency
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0016,test,yo entraba primero mis amigos se quedaron agarraron todas sus valijas y todo,,1.000000,1.000000,delete: 'yo entraba primero mis amigos se quedaron agarraron todas su' -> '',blocked,asr2_blocked;blocked_missing_asr_dependency
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0017,test,mientras yo estaba entrando al hotel para subir al lobby y hacer el checkin y todo,,1.000000,1.000000,delete: 'mientras yo estaba entrando al hotel para subir al lobby y h' -> '',blocked,asr2_blocked;blocked_missing_asr_dependency
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0018,test,entro al ascensor y entran dos personas mas,,1.000000,1.000000,delete: 'entro al ascensor y entran dos personas mas' -> '',blocked,asr2_blocked;blocked_missing_asr_dependency
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0019,test,dos tipos que se veian como que si fuesen amigos,,1.000000,1.000000,delete: 'dos tipos que se veian como que si fuesen amigos' -> '',blocked,asr2_blocked;blocked_missing_asr_dependency
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0020,test,hablando en frances nada mas no completamente en frances,,1.000000,1.000000,delete: 'hablando en frances nada mas no completamente en frances' -> '',blocked,asr2_blocked;blocked_missing_asr_dependency
