source_id,clip,original_roi_path,variant_roi_path,variant,shape,dtype,status,reason
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0001,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0001.npz,evaluation/outputs/batch_vsr/rois_lower_face_resized96/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0001.npz,lower_face_resized96,112x96x96,uint8,ok,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0002,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0002.npz,evaluation/outputs/batch_vsr/rois_lower_face_resized96/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0002.npz,lower_face_resized96,81x96x96,uint8,ok,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0003,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0003.npz,evaluation/outputs/batch_vsr/rois_lower_face_resized96/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0003.npz,lower_face_resized96,147x96x96,uint8,ok,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0004,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0004.npz,evaluation/outputs/batch_vsr/rois_lower_face_resized96/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0004.npz,lower_face_resized96,139x96x96,uint8,ok,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0005,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0005.npz,evaluation/outputs/batch_vsr/rois_lower_face_resized96/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0005.npz,lower_face_resized96,137x96x96,uint8,ok,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0006,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0006.npz,evaluation/outputs/batch_vsr/rois_lower_face_resized96/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0006.npz,lower_face_resized96,158x96x96,uint8,ok,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0007,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0007.npz,evaluation/outputs/batch_vsr/rois_lower_face_resized96/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0007.npz,lower_face_resized96,242x96x96,uint8,ok,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0008,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0008.npz,evaluation/outputs/batch_vsr/rois_lower_face_resized96/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0008.npz,lower_face_resized96,154x96x96,uint8,ok,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0009,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0009.npz,evaluation/outputs/batch_vsr/rois_lower_face_resized96/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0009.npz,lower_face_resized96,160x96x96,uint8,ok,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0010,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0010.npz,evaluation/outputs/batch_vsr/rois_lower_face_resized96/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0010.npz,lower_face_resized96,220x96x96,uint8,ok,
