experiment,source_id,clip,split,training_usability,policy_moderate,preprocessing_variant,transcript_variant,reference,hypothesis,wer,cer
E0_baseline_original,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0001,test,questionable,keep,current,current,ok estamos en vivo acabo de subir un video nuevo a mi canal de youtube sobre el curupi,hoy estaba siempre bajaba sobre un viejo cuando mira subsobre la culpa,0.944444,0.579710
E0_baseline_original,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0000,test,usable,keep,current,current,holi holis bellos mios como estan soy yo,hoy son los mas o menos como yo yo,1.000000,0.575758
E0_baseline_original,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0002,test,usable,keep,current,current,es un mito paraguayo lo deberian ver,es un pito para cual yo lo univer que va,1.000000,0.400000
E0_baseline_original,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0001,test,usable,keep,current,current,la señora elfa y hoy en el video de la fecha vamos a hablar de anecdotas de pueblos,la señora genufa hoy la realmente no la ficha vamos a hablar de ganas dotas de pueblos,0.500000,0.287879
E0_baseline_original,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0003,test,usable,keep,current,current,pero bueno creo que estamos con 7 dias seguidos haciendo lives,pero bien creo que hacemos los dicen dias cristias de dias y tejidos asi toreal,1.000000,0.692308
E0_baseline_original,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0002,test,usable,keep,current,current,ustedes me mandaron sus anecdotas de pueblo a djforanachorracom,mi vender los anotas de pueblo ha dicho en la chorra lo hace,1.333333,0.545455
E0_baseline_original,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0004,test,usable,keep,current,current,que buena onda espero que la esten disfrutando como yo,me cree una contra pero que hace disfrutando con mucho,0.900000,0.444444
E0_baseline_original,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0003,test,usable,keep,current,current,sobre infidelidades cosas de pueblo vieron lo que pasa en el pueblo queda en el pueblo,fin nadie o sea del pueblo pero lo que pasa en el pueblo,0.625000,0.492958
E0_baseline_original,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0005,test,usable,keep,current,current,que haces andy todo bien como va la gente mientras todos estan entrando,la telesante todo bien rilo banal termine mientras todos estan literando,0.615385,0.372881
E0_baseline_original,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0004,test,questionable,keep,current,current,ademas pasan cosas terribles en el pueblo y una que tiene que hacer irse del pueblo,me empezaron a gente que va a ser un bueno tuve que hacer y que se despues,0.937500,0.617647
E0_baseline_original,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0006,test,usable,keep,current,current,queria contarles una anecdota muy graciosa que haces moni que haces rama valen ana,en las que contar casuales la total muy las cosas que tienen voy y que se rapa valen al,1.071429,0.550725
E0_baseline_original,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0005,test,usable,keep,current,current,muchas historias tragicas cosas que van a entender los que son de pueblo,seguido la tranquila cosa nivel es lo que son despues,0.846154,0.583333
E0_baseline_original,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0007,test,usable,keep,current,current,que buena onda que todos entran asi tan rapido enzo maximo lorito dominic marcelo tuti,el que va a contar esto sentir que tiene tan rampido el chico partimos donestros opine mercitando o tuve,1.133333,0.680556
E0_baseline_original,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0006,test,usable,keep,current,current,yo elegi las mejores anecdotas que me mandaron y ahora voy a reaccionar,bueno yo el tiene amigo ya no es claramente no le encanta le voy a dar no,1.076923,0.779661
E0_baseline_original,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0008,test,usable,keep,current,current,bueno vamos a arrancar con esto les queria contar una anecdota muy graciosa en mi vida,puede volver a realidad con este en la carrera contra una relacion a muy casi no se la que mi vida,0.937500,0.549296
E0_baseline_original,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0008,test,usable,keep,current,current,te escribo porque necesito escupir un veneno que tengo guardado en mi epoca de pueblo,que le va a poder hacer dos cumplir un mercado que tengo guardado en mi porque despues,0.800000,0.478873
E0_baseline_original,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0009,test,usable,keep,current,current,donde ser argentino o por lo menos mentir y decirles que soy argentino me salvo la vida,en donde central en el siglo o por lo menos en practica que se queda en eso el que tengo pensando la vida,0.941176,0.549296
E0_baseline_original,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0009,test,usable,keep,current,current,te pido por favor anonimato total porque si esto se filtra me tengo que ir a vivir a la antartida,y te pido por favor caro animacion social porque si no se pierde la empatico que la divina la tarde,0.650000,0.435897
E0_baseline_original,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0010,test,usable,keep,current,current,basicamente una vez hace ponele no se 4 o 5 años,basicamente dije que no una vez casi por el cuando llego año,1.000000,0.578947
E0_baseline_original,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0010,test,usable,keep,current,current,el tema del pueblo ademas es que siempre todo es un secreto,el tema del poder mas es que disciplina todo suceder esto,0.500000,0.416667
E0_baseline_original,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0011,test,usable,keep,current,current,fui a viaje a montreal quebec canada,fui a mostrar que ve ganada,0.714286,0.400000
E0_baseline_original,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0011,test,usable,keep,current,current,porque realmente si se filtra cualquier cosa tenes que ir a otro pueblo,porque realmente se siente cualquier cosa que quiera otros pueblos,0.538462,0.254237
E0_baseline_original,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0012,test,usable,keep,current,current,donde se habla frances no una ciudad super super linda,donde llegaba a francillas no parece un casino personalista,0.800000,0.555556
E0_baseline_original,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0012,test,usable,keep,current,current,contexto soy de un pueblo del interior de la provincia de buenos aires en donde somos aproximadamente 5000 habitantes,yo soy un poco litero de la provincia de buenos aires y donde somos aproximadamente se comen abitantes,0.473684,0.272727
E0_baseline_original,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0013,test,usable,keep,current,current,tengo varios amigos que viven en montreal especialmente en montreal  especialmente durante el verano en montreal,en ser operados en medio de vivir en mostral especialmente lo que se reflejaron bien bien por ti,1.000000,0.572917
E0_baseline_original,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0013,test,usable,keep,current,current,yo tenia 15 años y salia con un machote de 19 que trabajaba en la panaderia del pueblo,yo tenia quince años esta la con un mancho te dice vuelve y trabajaba la palabra del pueblo,0.555556,0.347826
E0_baseline_original,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0014,test,usable,keep,current,current,es espectacular y deberian ir a montreal por favor,en pretacular y debe tener a mostrar por forma,0.666667,0.380952
E0_baseline_original,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0014,test,usable,keep,current,current,el pibe era el tipico rudo alto peleador boliche,el primer artipico reunio a eso mereado por ella,0.888889,0.475000
E0_baseline_original,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0015,test,usable,keep,current,current,bueno les cuento ni bien llegaba al hotel donde me estaba quedando en montreal con mis amigos,juego recuento y ver llegaba a los tales donde pasaba regaciones botelarios pide miedo,0.941176,0.493506
E0_baseline_original,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0015,test,usable,keep,current,current,obviamente esta mal chicos si tenes 15 años y estas con el de 19 se entiende tenes un tratamiento como me la mandan pero bueno se entiende,seguramente esta barcelona y cercano de las universidades que no se lo digo para matar pero bueno se tiene,0.777778,0.562500
E0_baseline_original,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0016,test,usable,keep,current,current,yo entraba primero mis amigos se quedaron agarraron todas sus valijas y todo,cuando yo entraba en primero mis amigos llegaron que agarraron todo sufrible de varias eso,0.692308,0.500000
