experiment,source_id,clip,split,training_usability,policy_moderate,preprocessing_variant,transcript_variant,reference,hypothesis,wer,cer
E2_transcript_cleaned_stronger,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0001,test,questionable,keep,current,transcript_cleaned_stronger,ok estamos en vivo acabo de subir un video nuevo a mi canal de youtube sobre el curupi,ahora estaba siempre baja ahora sobre un viejo jugador me cae un club sobre al culpe,0.888889,0.594203
E2_transcript_cleaned_stronger,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0000,test,usable,keep,current,transcript_cleaned_stronger,holi holis bellos mios como estan soy yo,hoy yo me sorprendio como yo yo,0.750000,0.606061
E2_transcript_cleaned_stronger,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0002,test,usable,keep,current,transcript_cleaned_stronger,es un mito paraguayo lo deberian ver,es un pito para cual yo lo univer canfal,0.857143,0.366667
E2_transcript_cleaned_stronger,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0001,test,usable,keep,current,transcript_cleaned_stronger,la señora elfa y hoy en el video de la fecha vamos a hablar de anecdotas de pueblos,la señora cruza y hoy la realmente no la ficha vamos a hablar de alegrosas de pueblos,0.388889,0.303030
E2_transcript_cleaned_stronger,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0003,test,usable,keep,current,transcript_cleaned_stronger,pero bueno creo que estamos con 7 dias seguidos haciendo lives,pero en creo que hacemos los diches dias crisis tenias tejidos haciendo real,0.727273,0.634615
E2_transcript_cleaned_stronger,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0002,test,usable,keep,current,transcript_cleaned_stronger,ustedes me mandaron sus anecdotas de pueblo a djforanachorracom,me van a rosario estas de pueblo a dicho en la chorra lo hace,1.222222,0.509091
E2_transcript_cleaned_stronger,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0004,test,usable,keep,current,transcript_cleaned_stronger,que buena onda espero que la esten disfrutando como yo,me cree buena onda pero que hace disfrutando como yo,0.500000,0.266667
E2_transcript_cleaned_stronger,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0003,test,usable,keep,current,transcript_cleaned_stronger,sobre infidelidades cosas de pueblo vieron lo que pasa en el pueblo queda en el pueblo,finalidad de otra del pueblo pero que mas al mundo quiere nuevo,0.875000,0.521127
E2_transcript_cleaned_stronger,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0005,test,usable,keep,current,transcript_cleaned_stronger,que haces andy todo bien como va la gente mientras todos estan entrando,la telesante todo bien rioba la gente pide inventa todos estas generando,0.692308,0.389831
E2_transcript_cleaned_stronger,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0004,test,questionable,keep,current,transcript_cleaned_stronger,ademas pasan cosas terribles en el pueblo y una que tiene que hacer irse del pueblo,me empezaron a gente que ves el bueno de una que llegue a hacer ella de bueno,0.812500,0.544118
E2_transcript_cleaned_stronger,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0006,test,usable,keep,current,transcript_cleaned_stronger,queria contarles una anecdota muy graciosa que haces moni que haces rama valen ana,y hay que contarles una de las otras muy clasicosas que hacen en boli que se rapa vale al,1.000000,0.463768
E2_transcript_cleaned_stronger,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0005,test,usable,keep,current,transcript_cleaned_stronger,muchas historias tragicas cosas que van a entender los que son de pueblo,se quedo las tranquilas los animales es lo que son despues,0.846154,0.583333
E2_transcript_cleaned_stronger,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0007,test,usable,keep,current,transcript_cleaned_stronger,que buena onda que todos entran asi tan rapido enzo maximo lorito dominic marcelo tuti,el que vengo a ser entonces tiene que ser rapido el niño marchismo dolentos de opere marchero tutil,1.066667,0.625000
E2_transcript_cleaned_stronger,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0006,test,usable,keep,current,transcript_cleaned_stronger,yo elegi las mejores anecdotas que me mandaron y ahora voy a reaccionar,bueno yo el tener amigo ya no tener mi vida lo que estaba en una real yo,1.230769,0.779661
