n,duracion_min,hablante_principal,canal_o_fuente,tipo_fuente,registro,genero,region_o_acento,slang,frontalidad_nota,url,estado
1,,Paulina Cocina,Paulina Cocina,YouTube / cocina explica a camara,informal coloquial,femenino,rioplatense,alto,frontal plano fijo (habla mucho a camara),PENDIENTE,candidato - resolver 2-4 URLs por hablante con yt-dlp
2,,Malena Pichot,YouTube/redes,monologo comedia a camara,informal coloquial,femenino,rioplatense,muy alto,frontal,PENDIENTE,candidato - resolver URLs
3,,Migue Granados,Olga / Soñe que volaba,monologo / charla a camara,informal coloquial,masculino,rioplatense,muy alto,frontal (buscar segmentos solo / monologo),PENDIENTE,candidato - evitar tramos multi-speaker
4,,Nati Jota,Olga / propio,story-time / charla a camara,informal coloquial,femenino,rioplatense,muy alto,frontal,PENDIENTE,candidato - resolver URLs
5,,Martin Garabal,Luzu / propio,comedia / personajes a camara,informal coloquial,masculino,rioplatense,alto,frontal,PENDIENTE,candidato - resolver URLs
6,,Grego Rosello,YouTube/stand-up,monologo comedia,informal coloquial,masculino,rioplatense,alto,medio-frontal (escenario a veces),PENDIENTE,candidato - resolver URLs
7,,Connie Ballarini,YouTube/stand-up,monologo comedia,informal coloquial,femenino,rioplatense,alto,medio-frontal,PENDIENTE,candidato - resolver URLs
8,,Dalia Gutmann,YouTube/stand-up,monologo comedia,informal coloquial,femenino,rioplatense,alto,medio-frontal,PENDIENTE,candidato - resolver URLs
9,,Luqui Lichtmann,YouTube/redes,monologo comedia a camara,informal coloquial,masculino,rioplatense,alto,frontal,PENDIENTE,candidato - resolver URLs
10,,Fernando Sanjiao,YouTube/stand-up,monologo comedia,informal coloquial,masculino,rioplatense,alto,medio-frontal,PENDIENTE,candidato - resolver URLs
11,,Sebastian Wainraich,YouTube/radio-video,monologo / charla a camara,informal coloquial,masculino,rioplatense,medio-alto,frontal,PENDIENTE,candidato - resolver URLs
12,,Momo (Martin Perez Disalvo),Momo,stream / reaccion webcam,informal coloquial,masculino,rioplatense,muy alto,frontal webcam (single speaker en reaccion),PENDIENTE,candidato - elegir tramos sin invitados
13,,Spreen (Ivan Buhajeruk),Spreen,stream / charla webcam,informal coloquial,masculino,rioplatense,alto,frontal webcam,PENDIENTE,candidato - resolver URLs
14,,Kun Aguero (Sergio Aguero),KunAgueroOficial,stream / charla webcam,informal coloquial,masculino,rioplatense,muy alto,frontal webcam,PENDIENTE,candidato - resolver URLs
15,,Lizardo Ponce,YouTube/redes,vlog / charla a camara,informal coloquial,masculino,rioplatense,alto,frontal,PENDIENTE,candidato - resolver URLs
