experiment,source_id,clip,split,training_usability,policy_moderate,preprocessing_variant,transcript_variant,reference,hypothesis,wer,cer
E3_preprocessing_variant,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0001,test,questionable,keep,lower_face_resized96,current,ok estamos en vivo acabo de subir un video nuevo a mi canal de youtube sobre el curupi,ahora esta lo siempre vos a cabo de subir un viejo nuevo meja tup se obran al culpe,0.888889,0.478261
E3_preprocessing_variant,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0000,test,usable,keep,lower_face_resized96,current,holi holis bellos mios como estan soy yo,hoy yo me sorprendio como yo yo,0.750000,0.606061
E3_preprocessing_variant,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0002,test,usable,keep,lower_face_resized96,current,es un mito paraguayo lo deberian ver,es un vito para cual yo lo unime caba,0.857143,0.433333
E3_preprocessing_variant,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0001,test,usable,keep,lower_face_resized96,current,la señora elfa y hoy en el video de la fecha vamos a hablar de anecdotas de pueblos,la celora luza hoy en el video de la ficha vamos a hablar de alerto tarde pueblo,0.388889,0.181818
E3_preprocessing_variant,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0003,test,usable,keep,lower_face_resized96,current,pero bueno creo que estamos con 7 dias seguidos haciendo lives,pero en creo que estamos los diches de las argentinas tenian retranquidos ha sido real,1.000000,0.788462
E3_preprocessing_variant,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0002,test,usable,keep,lower_face_resized96,current,ustedes me mandaron sus anecdotas de pueblo a djforanachorracom,ustedes me van a otra nota de pueblo ha decido razon raro,0.888889,0.418182
E3_preprocessing_variant,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0004,test,usable,keep,lower_face_resized96,current,que buena onda espero que la esten disfrutando como yo,me encarbo arra onda pero que ha tratado disfrutando como,0.700000,0.466667
E3_preprocessing_variant,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0003,test,usable,keep,lower_face_resized96,current,sobre infidelidades cosas de pueblo vieron lo que pasa en el pueblo queda en el pueblo,filia de los ademuebos pero y pasaremos lo que el bueno,0.875000,0.521127
E3_preprocessing_variant,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0005,test,usable,keep,lower_face_resized96,current,que haces andy todo bien como va la gente mientras todos estan entrando,yo creo que la tercera dije no rober no va a la gente me invitan todo esta clicando,1.076923,0.593220
E3_preprocessing_variant,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0004,test,questionable,keep,lower_face_resized96,current,ademas pasan cosas terribles en el pueblo y una que tiene que hacer irse del pueblo,que me empezaron a gente que va a ser un bueno de una que llega a hacer y decir bueno<sos/eos>,1.062500,0.735294
E3_preprocessing_variant,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0006,test,usable,keep,lower_face_resized96,current,queria contarles una anecdota muy graciosa que haces moni que haces rama valen ana,en la gran contagracion a la contra muy clase contra que ya es moy esa rapa valera,1.142857,0.579710
E3_preprocessing_variant,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0005,test,usable,keep,lower_face_resized96,current,muchas historias tragicas cosas que van a entender los que son de pueblo,vos teniendo la tranquila los animales es lo que son de pueblo,0.692308,0.550000
E3_preprocessing_variant,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0007,test,usable,keep,lower_face_resized96,current,que buena onda que todos entran asi tan rapido enzo maximo lorito dominic marcelo tuti,que bajaba el trato de sentir que tiene tan rapido el niño partimo los restos sopeler marrillano o tuber,1.066667,0.611111
E3_preprocessing_variant,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0006,test,usable,keep,lower_face_resized96,current,yo elegi las mejores anecdotas que me mandaron y ahora voy a reaccionar,no estoy en el amigo ya no tenia mi vida no le encanta le voy a realizar no,1.230769,0.694915
