url,video_id,title,channel,decision,total_score,usable_minutes_estimate,accepted_clips_estimate,recommended_use,ingest_status,failure_reason,source_video_gcs_path,source_audio_gcs_path,metadata_gcs_path,notes
https://www.youtube.com/watch?v=yJxDKBgw5NU,yJxDKBgw5NU,"Santiago Cafiero, mano a mano en TN: ""Es una decisión sanitaria, no política""",Todo Noticias,strong_accept,97.28,20.65,248.0,ingest_full,clips_generated_pending_asr_roi,,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_videos/yJxDKBgw5NU/yJxDKBgw5NU.f136.mp4,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_audio/yJxDKBgw5NU/yJxDKBgw5NU.f251.webm,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/yJxDKBgw5NU/yJxDKBgw5NU.info.json,clips_with_audio=238; large_asr=238; turbo_asr=238; roi_npz=236
https://www.youtube.com/watch?v=OrwtPwftIi4,OrwtPwftIi4,🎤 Curso de Oratoria con Daniel Colombo | 100% Práctico,Daniel Colombo,strong_accept,96.76,60,1023.0,ingest_partial,clips_generated_pending_asr_roi,,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_videos/OrwtPwftIi4/OrwtPwftIi4.f397.mp4,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_audio/OrwtPwftIi4/OrwtPwftIi4.f251.webm,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/OrwtPwftIi4/OrwtPwftIi4.info.json,clips_with_audio=884; large_asr=868; turbo_asr=868; roi_npz=0
https://www.youtube.com/watch?v=qEKPgqURvo0,qEKPgqURvo0,REBORD - PERETTI | HAY ALGO AHÍ | BLENDER,BLENDER,strong_accept,94.26,60,822.0,ingest_partial,clips_generated_pending_asr_roi,,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_videos/qEKPgqURvo0/qEKPgqURvo0.f398.mp4,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_audio/qEKPgqURvo0/qEKPgqURvo0.f251.webm,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/qEKPgqURvo0/qEKPgqURvo0.info.json,clips_with_audio=1058; large_asr=1058; turbo_asr=1058; roi_npz=0
https://www.youtube.com/watch?v=JixCyhEGE0A,JixCyhEGE0A,Javier Milei en TN I Entrevista completa del 30/06/2024,Todo Noticias,strong_accept,93.47,37.76,453.0,ingest_full,clips_generated_pending_asr_roi,,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_videos/JixCyhEGE0A/JixCyhEGE0A.f136.mp4,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_audio/JixCyhEGE0A/JixCyhEGE0A.f251.webm,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/JixCyhEGE0A/JixCyhEGE0A.info.json,clips_with_audio=552; large_asr=552; turbo_asr=552; roi_npz=416
https://www.youtube.com/watch?v=vDNy6EN7bIY,vDNy6EN7bIY,¿Cómo es el ESPAÑOL ARGENTINO FORMAL? - Argento Podcast #44,Spanish with Nico,strong_accept,92.65,13.02,156.0,ingest_full,source_downloaded_pending_clips_asr_roi,,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_videos/vDNy6EN7bIY/vDNy6EN7bIY.f247.webm,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_audio/vDNy6EN7bIY/vDNy6EN7bIY.f247.webm,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/vDNy6EN7bIY/vDNy6EN7bIY.info.json,source video/audio downloaded locally and uploaded to GCS; clips/ASR/ROIs pending
https://www.youtube.com/watch?v=R3f0x1IJvhI,R3f0x1IJvhI,"GUILLERMO FRANCELLA, UN LUJO COMO PRIMER INVITADO DE OTRO DÍA PERDIDO || ENTREVISTA COMPLETA",eltrece,strong_accept,92.19,21.32,256.0,ingest_full,clips_generated_pending_asr_roi,,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_videos/R3f0x1IJvhI/R3f0x1IJvhI.f398.mp4,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_audio/R3f0x1IJvhI/R3f0x1IJvhI.f251.webm,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/R3f0x1IJvhI/R3f0x1IJvhI.info.json,clips_with_audio=293; large_asr=284; turbo_asr=284; roi_npz=0
https://www.youtube.com/watch?v=j4x2GC1Ztro,j4x2GC1Ztro,Mario Pergolini y un imperdible mano a mano con Andy Kusnetzoff | #Perros2022 Perros de la Calle,Urbana Play 104.3 FM,strong_accept,92.18,56.41,677.0,ingest_full,clips_generated_pending_asr_roi,,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_videos/j4x2GC1Ztro/j4x2GC1Ztro.f398.mp4,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_audio/j4x2GC1Ztro/j4x2GC1Ztro.f251.webm,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/j4x2GC1Ztro/j4x2GC1Ztro.info.json,clips_with_audio=832; large_asr=830; turbo_asr=830; roi_npz=0
https://www.youtube.com/watch?v=Z-t-GNlxpYc,Z-t-GNlxpYc,"Entrevista completa de Javier Milei con Luis Majul: ""Hemos pasado el momento bisagra""",LA NACION,strong_accept,91.18,49.64,596.0,ingest_full,clips_generated_pending_asr_roi,,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_videos/Z-t-GNlxpYc/Z-t-GNlxpYc.f398.mp4,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_audio/Z-t-GNlxpYc/Z-t-GNlxpYc.f251.webm,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/Z-t-GNlxpYc/Z-t-GNlxpYc.info.json,clips_with_audio=805; large_asr=805; turbo_asr=805; roi_npz=0
https://www.youtube.com/watch?v=ITovsJg-q5c,ITovsJg-q5c,Cómo Amarse a uno Mismo y Tener Buena Salud Mental: Hábitos de Vida - Gabriel Rolón,Tengo un Plan,strong_accept,91.1,60,1341.0,ingest_partial,clips_generated_pending_asr_roi,,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_videos/ITovsJg-q5c/ITovsJg-q5c.f398.mp4,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_audio/ITovsJg-q5c/ITovsJg-q5c.f251.webm,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/ITovsJg-q5c/ITovsJg-q5c.info.json,clips_with_audio=1308; large_asr=1308; turbo_asr=1308; roi_npz=79
https://www.youtube.com/watch?v=eqw0QM4A0oA,eqw0QM4A0oA,Taty Almeida | Bios Militantes con Julia Mengolini en #Segurola,Futurock FM,strong_accept,90.38,49.83,598.0,ingest_full,clips_generated_pending_asr_roi,,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_videos/eqw0QM4A0oA/eqw0QM4A0oA.f136.mp4,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_audio/eqw0QM4A0oA/eqw0QM4A0oA.f251.webm,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/eqw0QM4A0oA/eqw0QM4A0oA.info.json,clips_with_audio=569; large_asr=569; turbo_asr=569; roi_npz=519
https://www.youtube.com/watch?v=jgp8WZvtkWU,jgp8WZvtkWU,Martin Menem con Iván Schargrodsky en #OnTheRecord,Cenital,accept,90.69,60,748.0,ingest_partial,clips_generated_pending_asr_roi,,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_videos/jgp8WZvtkWU/jgp8WZvtkWU.f398.mp4,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_audio/jgp8WZvtkWU/jgp8WZvtkWU.f251.webm,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/jgp8WZvtkWU/jgp8WZvtkWU.info.json,clips_with_audio=918; large_asr=899; turbo_asr=899; roi_npz=0
https://www.youtube.com/watch?v=h3HtBhArO1Q,h3HtBhArO1Q,El Método Rebord #56 - Andy Chango,El Método Rebord,accept,90.64,60,1228.0,ingest_partial,clips_generated_pending_asr_roi,,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_videos/h3HtBhArO1Q/h3HtBhArO1Q.f398.mp4,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/source_audio/h3HtBhArO1Q/h3HtBhArO1Q.f251.webm,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/metadata/h3HtBhArO1Q/h3HtBhArO1Q.info.json,clips_with_audio=1580; large_asr=1577; turbo_asr=1578; roi_npz=0
