source_id,clip,split,current_text,asr2_text,wer_current_vs_asr2,cer_current_vs_asr2,token_diff_summary,disagreement_level,reasons
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0001,test,ok estamos en vivo acabo de subir un video nuevo a mi canal de youtube sobre el curupi,"Ok, estamos en vivo. Acabo de subir un video nuevo a mi canal de YouTube sobre el curupín.",0.166667,0.072464,"replace: 'ok' -> 'ok,' | replace: 'vivo' -> 'vivo.' | replace: 'curupi' -> 'curupín.'",low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0002,test,es un mito paraguayo lo deberian ver,"es un mito paraguayo, lo deberían ver.",0.428571,0.100000,"replace: 'paraguayo' -> 'paraguayo,' | replace: 'deberian ver' -> 'deberían ver.'",medium,possible_entity_error
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0003,test,pero bueno creo que estamos con 7 dias seguidos haciendo lives,"Pero bueno, creo que estamos con 7 días seguidos haciendo live.",0.272727,0.057692,"replace: 'bueno' -> 'bueno,' | replace: 'dias' -> 'días' | replace: 'lives' -> 'live.'",low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0004,test,que buena onda espero que la esten disfrutando como yo,¡Qué buena onda! Espero que la están disfrutando como yo.,0.400000,0.111111,replace: 'que' -> '¡qué' | replace: 'onda' -> 'onda!' | replace: 'esten' -> 'están' | replace: 'yo' -> 'yo.',medium,possible_entity_error
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0005,test,que haces andy todo bien como va la gente mientras todos estan entrando,¿Qué haces Andy? ¿Todo bien? ¿Cómo va la gente mientras todos están entrando?,0.538462,0.152542,replace: 'que' -> '¿qué' | replace: 'andy todo bien como' -> 'andy? ¿todo bien? ¿cómo' | replace: 'estan entrando' -> 'están entrando?',medium,asr_disagreement
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0006,test,queria contarles una anecdota muy graciosa que haces moni que haces rama valen ana,Quería contarles una anécdota muy graciosa. ¿Qué haces Moni? ¿Qué haces Rama? ¿Valen? ¿Ana?,0.642857,0.188406,replace: 'queria' -> 'quería' | replace: 'anecdota' -> 'anécdota' | replace: 'graciosa que' -> 'graciosa. ¿qué' | replace: 'moni que' -> 'moni? ¿qué',medium,possible_timestamp_misalignment
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0007,test,que buena onda que todos entran asi tan rapido enzo maximo lorito dominic marcelo tuti,"¡Ey! ¡Qué buena onda que todos entran así tan rápido! Enzo, Máximo, Lorito, Dominic, Marcelo, Tuti.",0.666667,0.222222,"replace: 'que' -> '¡ey! ¡qué' | replace: 'asi' -> 'así' | replace: 'rapido enzo maximo lorito dominic marcelo tuti' -> 'rápido! enzo, máximo, lorito, dominic, marcelo, tuti.'",medium,possible_timestamp_misalignment
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0008,test,bueno vamos a arrancar con esto les queria contar una anecdota muy graciosa en mi vida,"Bueno, vamos a arrancar con esto Les quería contar una anécdota Muy graciosa en mi vida",0.187500,0.042254,"replace: 'bueno' -> 'bueno,' | replace: 'queria' -> 'quería' | replace: 'anecdota' -> 'anécdota'",low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0009,test,donde ser argentino o por lo menos mentir y decirles que soy argentino me salvo la vida,donde ser argentino o por lo menos mentir y decirles que soy argentino me salvó la vida,0.058824,0.014085,replace: 'salvo' -> 'salvó',low,
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0010,test,basicamente una vez hace ponele no se 4 o 5 años,"Básicamente Una vez hace Ponele, no sé 4 o 5 años",0.272727,0.078947,"replace: 'basicamente' -> 'básicamente' | replace: 'ponele' -> 'ponele,' | replace: 'se' -> 'sé'",low,
