experiment,source_id,clip,split,training_usability,policy_moderate,preprocessing_variant,transcript_variant,reference,hypothesis,wer,cer
E1_visual_cleaned,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0001,test,questionable,keep,current,current,ok estamos en vivo acabo de subir un video nuevo a mi canal de youtube sobre el curupi,hoy estabamos siempre bajaba de sobre un viajo jugador me cae un lup sobre la calcupe,0.833333,0.579710
E1_visual_cleaned,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0000,test,usable,keep,current,current,holi holis bellos mios como estan soy yo,hoy yo lo que me sorprendio soy yo,0.750000,0.606061
E1_visual_cleaned,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0002,test,usable,keep,current,current,es un mito paraguayo lo deberian ver,es un plito con para cual yo lo univer cafa,1.000000,0.533333
E1_visual_cleaned,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0001,test,usable,keep,current,current,la señora elfa y hoy en el video de la fecha vamos a hablar de anecdotas de pueblos,la señora de luz hoy analmente no de la ficha vamos a hablar de ganas dotas de pueblos,0.444444,0.227273
E1_visual_cleaned,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0003,test,usable,keep,current,current,pero bueno creo que estamos con 7 dias seguidos haciendo lives,pero bueno creo que hacemos los dicen dias cristias dirigidos haciendo real,0.545455,0.538462
E1_visual_cleaned,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0002,test,usable,keep,current,current,ustedes me mandaron sus anecdotas de pueblo a djforanachorracom,ustedes me venden los anotas de pueblos adiciendo a la chorra los veces,1.000000,0.472727
E1_visual_cleaned,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0004,test,usable,keep,current,current,que buena onda espero que la esten disfrutando como yo,me cree buena onda espero que hace esto disfrutando con mucho,0.600000,0.311111
E1_visual_cleaned,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0003,test,usable,keep,current,current,sobre infidelidades cosas de pueblo vieron lo que pasa en el pueblo queda en el pueblo,fin nadie o sea del pueblo pero lo demasiado por lo que el muevo,0.875000,0.535211
E1_visual_cleaned,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0005,test,usable,keep,current,current,que haces andy todo bien como va la gente mientras todos estan entrando,yo tenga seres anti todo bien river la gente me invita a todos estan clicando,0.769231,0.440678
E1_visual_cleaned,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,clip_0004,test,questionable,keep,current,current,ademas pasan cosas terribles en el pueblo y una que tiene que hacer irse del pueblo,me pasaron a gente que va a ser un pueblo de una casa en el que se despues,1.062500,0.573529
