dataset_group,source_bucket,source_type,clip_id,split,spk,titulo,clip,n_frames,text_large_existing,mp4_gcs_path,npz_gcs_path,txt_gcs_path,has_mp4,has_npz,has_txt,url,url_confidence,source_context_status,notes
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0001,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0001,112,ok estamos en vivo acabo de subir un video nuevo a mi canal de youtube sobre el curupi,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0001.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0001.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0001.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0002,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0002,81,es un mito paraguayo lo deberian ver,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0002.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0002.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0002.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0003,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0003,147,pero bueno creo que estamos con 7 dias seguidos haciendo lives,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0003.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0003.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0003.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0004,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0004,139,que buena onda espero que la esten disfrutando como yo,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0004.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0004.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0004.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0005,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0005,137,que haces andy todo bien como va la gente mientras todos estan entrando,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0005.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0005.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0005.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0006,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0006,158,queria contarles una anecdota muy graciosa que haces moni que haces rama valen ana,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0006.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0006.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0006.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0007,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0007,242,que buena onda que todos entran asi tan rapido enzo maximo lorito dominic marcelo tuti,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0007.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0007.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0007.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0008,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0008,154,bueno vamos a arrancar con esto les queria contar una anecdota muy graciosa en mi vida,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0008.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0008.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0008.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0009,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0009,160,donde ser argentino o por lo menos mentir y decirles que soy argentino me salvo la vida,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0009.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0009.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0009.txt,true,true,true,,,missing_url,
argentina/existing,gs://labios-argentos-vsr-dataset,existing_lip_rois_splits,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0010,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0010,220,basicamente una vez hace ponele no se 4 o 5 años,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0010.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0010.npz,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0010.txt,true,true,true,,,missing_url,
