source_id,clip_id,split,speaker,n_frames,source_raw_text,llm_raw_text,suggested_text,action,confidence,char_change_ratio,word_change_ratio,risk_flags,validation_flags,review_status,notes,video_path,video_exists,txt_path,txt_exists,txt_matches_source
CHARLA SOBRE EL AMOR Y EL DESAMOR,clip_0000,val,f04,100,voy a antereccionar maria del cerro y ahora que hay un monton de gente en el chat les quiero decir algo,voy a antereccionar maria del cerro y ahora que hay un monton de gente en el chat les quiero decir algo,voy a reaccionar a maria becerra y ahora que hay un monton de gente en el chat les quiero decir algo,corrected,0.76,0.064,0.1429,nombre_propio|cambio_grande|correccion_inferida|requiere_video,,reject_suggestion,corrige verbo y nombre propio por contexto del video y mencion posterior,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0000.mp4,True,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0000.txt,True,True
CHARLA SOBRE EL AMOR Y EL DESAMOR,clip_0001,val,f04,125,la vida aca voy a aparecer un hippie o esas finas que leen el horoscopo,la vida aca voy a aparecer un hippie o esas finas que leen el horoscopo,la vida aca voy a parecer un hippie o esas minas que leen el horoscopo,corrected,0.9,0.0213,0.1333,jerga,,accept_correction,aparecer y finas son errores claros por contexto de habla,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0001.mp4,True,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0001.txt,True,True
CHARLA SOBRE EL AMOR Y EL DESAMOR,clip_0002,val,f04,100,pero la vida posta que se trata de energias,pero la vida posta que se trata de energias,pero la vida posta que se trata de energias,keep,0.88,0.0,0.0,,,keep_raw,,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0002.mp4,True,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0002.txt,True,True
CHARLA SOBRE EL AMOR Y EL DESAMOR,clip_0003,val,f04,200,entienden que estamos haciendo un stream a las 4 de la mañana en españa y tengo 24k de viewers hablando de futbol,entienden que estamos haciendo un stream a las 4 de la mañana en españa y tengo 24k de viewers hablando de futbol,entienden que estamos haciendo un stream a las 4 de la mañana en españa y tengo 24k de viewers hablando de futbol,keep,0.88,0.0,0.0,,,keep_raw,,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0003.mp4,True,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0003.txt,True,True
CHARLA SOBRE EL AMOR Y EL DESAMOR,clip_0004,val,f04,125,algo totalmente impensado estan saliendo todos los dias los rankings de twitch y a mi,algo totalmente impensado estan saliendo todos los dias los rankings de twitch y a mi,algo totalmente impensado estan saliendo todos los dias los rankings de twitch y a mi,keep,0.88,0.0,0.0,,,keep_raw,,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0004.mp4,True,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0004.txt,True,True
CHARLA SOBRE EL AMOR Y EL DESAMOR,clip_0005,val,f04,125,yo ya tengo 10 11 años de streamer no me interesa ranquear pero te la blanqueo,yo ya tengo 10 11 años de streamer no me interesa ranquear pero te la blanqueo,yo ya tengo 10 11 años de streamer no me interesa ranquear pero te la blanqueo,keep,0.88,0.0,0.0,,,keep_raw,,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0005.mp4,True,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0005.txt,True,True
CHARLA SOBRE EL AMOR Y EL DESAMOR,clip_0008,val,f04,125,ah buena poronga 23k ojo me la sube sabe por que me la sube,ah buena poronga 23k ojo me la sube sabe por que me la sube,ah buena poronga 23k ojo me la sube saben por que me la sube,corrected,0.78,0.0084,0.0714,insulto|jerga,,accept_correction,saben concuerda con el chat como destinatario,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0008.mp4,True,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0008.txt,True,True
CHARLA SOBRE EL AMOR Y EL DESAMOR,clip_0009,val,f04,100,porque eso es mi historia por eso estoy donde estoy por eso soy main event,porque eso es mi historia por eso estoy donde estoy por eso soy main event,porque eso es mi historia por eso estoy donde estoy por eso soy main event,keep,0.88,0.0,0.0,,,keep_raw,,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0009.mp4,True,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0009.txt,True,True
CHARLA SOBRE EL AMOR Y EL DESAMOR,clip_0013,val,f04,150,ojo yo veo el numero y no les voy a negarme me motivo me motivo,ojo yo veo el numero y no les voy a negarme me motivo me motivo,ojo yo veo el numero y no les voy a negar me motivo me motivo,corrected,0.93,0.0161,0.0667,correccion_inferida,,accept_correction,negarme rompe la construccion no les voy a negar,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0013.mp4,True,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0013.txt,True,True
CHARLA SOBRE EL AMOR Y EL DESAMOR,clip_0014,val,f04,100,las cosas estan saliendo bien y se los quiero agradecer si yo tuviera 5k de viewers igual estaria motivado,las cosas estan saliendo bien y se los quiero agradecer si yo tuviera 5k de viewers igual estaria motivado,las cosas estan saliendo bien y se los quiero agradecer si yo tuviera 5k de viewers igual estaria motivado,keep,0.88,0.0,0.0,,,keep_raw,,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0014.mp4,True,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0014.txt,True,True
CHARLA SOBRE EL AMOR Y EL DESAMOR,clip_0015,val,f04,100,igual diria gracias por mirarme,igual diria gracias por mirarme,igual diria gracias por mirarme,keep,0.88,0.0,0.0,,,keep_raw,,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0015.mp4,True,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0015.txt,True,True
CHARLA SOBRE EL AMOR Y EL DESAMOR,clip_0016,val,f04,150,porque yo agradecido por mas que sea 2 3 4 20 50 500 22000,porque yo agradecido por mas que sea 2 3 4 20 50 500 22000,porque yo agradecido por mas que sea 2 3 4 20 50 500 22000,keep,0.88,0.0,0.0,,,keep_raw,,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0016.mp4,True,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0016.txt,True,True
CHARLA SOBRE EL AMOR Y EL DESAMOR,clip_0017,val,f04,150,agraecido siempre pero vale destacar que en un momento critico porque es un momento critico para mi,agraecido siempre pero vale destacar que en un momento critico porque es un momento critico para mi,agradecido siempre pero vale destacar que en un momento critico porque es un momento critico para mi,corrected,0.99,0.005,0.0588,,,accept_correction,error ortografico evidente de transcripcion,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0017.mp4,True,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0017.txt,True,True
CHARLA SOBRE EL AMOR Y EL DESAMOR,clip_0018,val,f04,100,las cosas estan empezando a salir de nuevo despues de que llueve sale el sol,las cosas estan empezando a salir de nuevo despues de que llueve sale el sol,las cosas estan empezando a salir de nuevo despues de que llueve sale el sol,keep,0.88,0.0,0.0,,,keep_raw,,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0018.mp4,True,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0018.txt,True,True
CHARLA SOBRE EL AMOR Y EL DESAMOR,clip_0019,val,f04,75,ojo despues de que llueve sale el sol,ojo despues de que llueve sale el sol,ojo despues de que llueve sale el sol,keep,0.88,0.0,0.0,,,keep_raw,,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0019.mp4,True,data/clips/CHARLA SOBRE EL AMOR Y EL DESAMOR/clip_0019.txt,True,True
