titulo,clip,estado,ratio_deteccion,n_frames,texto
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0000,ok,1.000,194,bueno amigos esta es una anecdota muy especial porque es un gran recuerdo y la posta es que creo que creo haberla contado alguna vez
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0001,ok,1.000,126,y en mixer creo que fue entonces se perdieron muchas transmisiones incluso se perdieron a eduqui y neo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0002,ok,1.000,100,pero creo que habia que darla con detalles con fotos de como fue el viaje y demas
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0003,ok,1.000,114,les comento los pongo en contexto argentina seleccion 2014
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0004,ok,1.000,164,el maestro zabela al frente de la seleccion argentina parecia que no daba moneda dos mangos en la primera ronda
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0005,ok,1.000,150,los motos se acuerdan el partido con iran que nos salva messi cuestion yo voy a ser sincero yo tampoco tenia tanta fe en la seleccion
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0006,ok,1.000,108,lo bancaba zabela pero habia cositas que no me gustaba
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0007,ok,1.000,195,bueno como somos los argentinos tengo que ser honesto cuestion que jugabamos con holanda nos juntabamos todos los vader a ver el partido
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0008,ok,1.000,141,estabamos en la casa de milcar ya antes del partido me decia nada porque vos momo que toque el otro
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0009,ok,1.000,129,da legero que la concha de tu madre yo discutiendo con juancito que en los dos siempre discutimos
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0010,ok,1.000,177,entonces contra holanda me dice hagamos una cosa si le ganamos a holanda nos vamos a brasil a ver la final
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0011,ok,1.000,194,yo habia ruido porque yo no creia que le vayamos a ganar a holanda acuerdense que ese holanda fue el que hizo el gol de palomita
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0012,ok,1.000,169,no me acuerdo ahora no me lo he visto no si creo que fue el gol de robben que tenian una maquina increible holanda
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0013,ok,1.000,168,van persi cuestion que le digo no tengo si bueno si le digo si si le ganamos a holanda vamos a brasil
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0014,ok,1.000,153,yo la tire por tirarla bueno entonces vamos a penale cuando va a ver a tu hijo que ganamos todos
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0015,ok,1.000,194,obviamente festejando que se yo y me dice no vamos a tener a brasil bueno si esta bien yo siempre que digo algo lo cumplo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0016,ok,1.000,138,lo miro a milcar y bueno no vamos a brasil bueno no vamos a brasil ya arranco como la mierda estabamos en lo de a milcar
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0017,ok,1.000,166,claro cuando vimos todo eso todo empezando a buscar pasaje empezamos a buscar pasaje que si que no vamos a brasil que no vamos a brasil que toque el otro gol no vamos a brasil
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0018,ok,1.000,229,bueno empezamos a sacar cuentas no vamos a comprar el aire bueno cuando digo no ya esta todo agotado no hay nada no hay nada para irnos
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0019,ok,1.000,177,aparece la hermana de a milcar y dice encontre un vuelo nos manda el link yo como un pelotudo agarro ni mire
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0020,ok,1.000,252,ponele que el partido era miercoles 24 y el lunes podiamos volar entonces era lunes 22 lunes 22 martes 23 y miercoles 24 lunes 22
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0021,ok,1.000,220,entonces buscamos para sacar lunes 22 miro asi lunes 22 voy compro el pasaje un termino para el pasaje era ponele nosotros estamos jugando el mundial no me acuerdo fue junio ponele
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0022,ok,0.980,298,el pasaje era el lunes 22 de octubre cuando me llegue a la notificacion de que compro un pasaje boludo compro un pasaje en octubre todos cagandose de risa sos un pelotudo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0023,ok,1.000,388,y luciano me miraba y me decia al hubeo el de la anecdota me decia oh brasil temporada baja hermoso vos sos pelotudo luciano le digo hermoso la es pelota boludo acabo de comprarme acabo de meter no se cuantos miles de pesos en el horto boludo no brasil en temporada baja hermoso
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0024,ok,0.996,195,vos sos un tarado le digo ahora que mierda hago en el pasaje no me van a devolver la plata hermoso en temporada baja andar a concha a tu madre luciano le digo sos un tarado
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0025,ok,0.975,262,bueno a todo esto todos cagandose de risa de que ya habia gastado 15 mil 20 mil pesos al pedo ya empece a hacer el reclamo de en un se que la tarjeta la habia perdido que me hicieron el piching no se que mierda
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0026,ok,1.000,150,cagando en la puteda de la hermana de amilca de ligo veronica como me vas a mandar un link de un pasaje en octubre cuando vole en junio
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0027,ok,1.000,158,bueno cuestion que claro no terminaba mas todo burlandose bueno tenian razon era un pelotudo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0028,ok,1.000,275,cuestion que agarro y me dice bueno vamos en auto yo tenia el goltren amigo yo esta todo bien pero en el goltren no llegamos ni a palo o sea y re incomodo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0029,ok,1.000,233,hacemos 10 horas de viaje y tenemos que operar de la columna a la mitad del auto o sea no podemos era a rio de janeiro en un goltren
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0030,ok,1.000,162,bueno dice discutiendo en cual vamos bueno a ver quien se sube eramos a milcar luciano juancito y yo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0031,ok,1.000,250,vamos 4 bueno listo vamos 4 faltando un dia se baja a milcar no que no se a mi me ha pedido el trabajo voludo tenemos que ir
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0032,ok,1.000,138,no que no se que porque mi papa dice que no se que toque el auto vanda la concha a tu madre esta bien
