n,duracion_min,hablante_principal,canal_o_fuente,tipo_fuente,registro,genero,region_o_acento,slang,frontalidad_nota,url,estado
1,12,Lucho Mellera,LuchoMellera,YouTube / stand-up lee historias a camara,informal coloquial,masculino,rioplatense,alto,medio-frontal (a veces plano de escenario),https://www.youtube.com/watch?v=DWmOGQp2chg,candidato verificado por yt-dlp; no descargado
2,20,Lucho Mellera,LuchoMellera,YouTube / stand-up lee historias a camara,informal coloquial,masculino,rioplatense,alto,medio-frontal (a veces plano de escenario),https://www.youtube.com/watch?v=muYsLjMAIxk,candidato verificado por yt-dlp; no descargado
3,27,Pablo Agustin,PabloAgustin,YouTube / monologo a camara,informal coloquial,masculino,rioplatense,alto,frontal plano fijo,https://www.youtube.com/watch?v=FqgU3psMyKQ,candidato verificado por yt-dlp; no descargado
4,29,Pablo Agustin,PabloAgustin,YouTube / monologo a camara,informal coloquial,masculino,rioplatense,alto,frontal,https://www.youtube.com/watch?v=VpCoTQ9073o,candidato verificado por yt-dlp; no descargado
5,33,Pablo Agustin,PabloAgustin,YouTube / monologo a camara,informal coloquial,masculino,rioplatense,alto,frontal plano fijo,https://www.youtube.com/watch?v=5-o3JGf1taU,candidato verificado por yt-dlp; no descargado
6,32,Pablo Agustin,PabloAgustin,YouTube / monologo confesional a camara,informal coloquial,masculino,rioplatense,alto,frontal,https://www.youtube.com/watch?v=FhPgg2-hIDU,candidato verificado por yt-dlp; no descargado
7,34,Pablo Agustin,PabloAgustin,YouTube / monologo a camara,informal coloquial,masculino,rioplatense,alto,frontal,https://www.youtube.com/watch?v=GhdO9yCVxb8,candidato verificado por yt-dlp; no descargado
8,8,Brunenger,Brunenger,YouTube / storytime a camara,informal coloquial,masculino,rioplatense,alto,frontal,https://www.youtube.com/watch?v=rcwnQQGKAGA,candidato verificado por yt-dlp; no descargado
9,10,Brunenger,Brunenger,YouTube / storytime a camara,informal coloquial,masculino,rioplatense,alto,frontal,https://www.youtube.com/watch?v=nZHGzdXgbCI,candidato verificado por yt-dlp; no descargado
10,8,Lucas Castel,Lucas Castel,YouTube / storytime a camara,informal coloquial,masculino,rioplatense,medio-alto,frontal (algun corte de edicion),https://www.youtube.com/watch?v=Yqe3Z8zVS_A,candidato verificado por yt-dlp; no descargado
11,8,Lucas Castel,Lucas Castel,YouTube / storytime a camara,informal coloquial,masculino,rioplatense,alto,frontal,https://www.youtube.com/watch?v=sJ3XShU8Ihg,candidato verificado por yt-dlp; no descargado
