clip,texto,n_frames,npz
clip_01,che queres que vayamos a tomar unos mates a la plaza,96,adapt_fede/clip_01.npz
clip_03,ayer fui a la cancha y ganamos dos a cero,90,adapt_fede/clip_03.npz
clip_04,me parece que va a llover toda la tarde,73,adapt_fede/clip_04.npz
clip_06,vamos a comer un asado el domingo en casa de mi vieja,94,adapt_fede/clip_06.npz
clip_07,el subte estaba lleno y llegue tarde al trabajo,83,adapt_fede/clip_07.npz
clip_09,mi hermano se compro un auto usado la semana pasada,79,adapt_fede/clip_09.npz
clip_11,el finde nos vamos unos dias a la costa con los pibes,85,adapt_fede/clip_11.npz
clip_13,el bondi tardo como media hora en venir,73,adapt_fede/clip_13.npz
clip_14,estoy cansado no dormi casi nada anoche,88,adapt_fede/clip_14.npz
clip_16,me encanta salir a caminar por el parque,71,adapt_fede/clip_16.npz
clip_17,tengo una reunion importante a las tres de la tarde,79,adapt_fede/clip_17.npz
clip_19,mi perro se escapo pero volvio solo a la casa,81,adapt_fede/clip_19.npz
clip_21,no encuentro las llaves las busque por todos lados,78,adapt_fede/clip_21.npz
clip_23,el partido se suspendio por la lluvia,71,adapt_fede/clip_23.npz
clip_24,me compre unas zapatillas nuevas para correr,81,adapt_fede/clip_24.npz
clip_26,el tren venia tan lleno que no pude subir,77,adapt_fede/clip_26.npz
clip_27,prefiero quedarme en casa y ver una serie,78,adapt_fede/clip_27.npz
clip_29,ayer charlamos hasta las tres de la manana,70,adapt_fede/clip_29.npz
clip_31,vamos a festejar el cumple en un bar del centro,74,adapt_fede/clip_31.npz
clip_33,el jefe me pidio que termine el informe hoy,73,adapt_fede/clip_33.npz
clip_34,hace mucho que no veo a mis amigos del colegio,79,adapt_fede/clip_34.npz
clip_36,plantamos unos tomates y albahaca en el balcon,79,adapt_fede/clip_36.npz
clip_37,el verano pasado viajamos por toda la patagonia,75,adapt_fede/clip_37.npz
clip_39,quiero aprender a tocar la guitarra este ano,68,adapt_fede/clip_39.npz
clip_41,pasame la receta de las milanesas de tu vieja,85,adapt_fede/clip_41.npz
clip_43,se corto la luz en todo el barrio anoche,75,adapt_fede/clip_43.npz
clip_44,vamos a lo de la abuela a almorzar el domingo,76,adapt_fede/clip_44.npz
clip_46,tenes monedas para el bondi o pago con la sube,83,adapt_fede/clip_46.npz
clip_47,la pelicula estaba buenisima pero re larga,78,adapt_fede/clip_47.npz
clip_49,juntemos plata entre todos para el regalo,71,adapt_fede/clip_49.npz
clip_51,mi vecino escucha musica fuerte hasta la madrugada,75,adapt_fede/clip_51.npz
clip_53,el finde hay un recital en el parque centenario,79,adapt_fede/clip_53.npz
clip_54,se me mancho la remera con salsa de tomate,73,adapt_fede/clip_54.npz
clip_56,carga el termo que salimos a tomar mate,67,adapt_fede/clip_56.npz
clip_57,me olvide la clave del banco otra vez,66,adapt_fede/clip_57.npz
clip_59,compramos fruta y verdura en la feria del sabado,119,adapt_fede/clip_59.npz
clip_61,tengo turno con el dentista a las cuatro,62,adapt_fede/clip_61.npz
clip_63,se llovio todo el techo de la cocina,62,adapt_fede/clip_63.npz
clip_64,te presto el cargador pero despues me lo devolves,70,adapt_fede/clip_64.npz
clip_66,hace meses que quiero pintar la habitacion,66,adapt_fede/clip_66.npz
clip_67,el bondi paso de largo y no me vio,65,adapt_fede/clip_67.npz
clip_69,cociname unos fideos con manteca porfa,69,adapt_fede/clip_69.npz
clip_71,mi hermana se recibio de abogada la semana pasada,83,adapt_fede/clip_71.npz
clip_73,no me funciona el wifi desde ayer a la tarde,75,adapt_fede/clip_73.npz
clip_74,traje facturas para el mate de la tarde,65,adapt_fede/clip_74.npz
clip_76,vamos a ver a river el fin de semana,67,adapt_fede/clip_76.npz
clip_77,me gusta caminar por la costanera al atardecer,73,adapt_fede/clip_77.npz
clip_79,hicimos un asado con todos los primos,68,adapt_fede/clip_79.npz
clip_81,pasa a buscarme a las ocho por casa,70,adapt_fede/clip_81.npz
clip_83,compre entradas para el teatro el mes que viene,69,adapt_fede/clip_83.npz
clip_84,hay que sacar la basura antes de las nueve,74,adapt_fede/clip_84.npz
clip_86,juntamos hojas secas del jardin toda la tarde,84,adapt_fede/clip_86.npz
clip_87,tenes que probar el helado de dulce de leche,68,adapt_fede/clip_87.npz
clip_89,me anote en un curso de fotografia online,69,adapt_fede/clip_89.npz
clip_91,prestame plata hasta el viernes que cobro,68,adapt_fede/clip_91.npz
clip_93,se me quemo el arroz mientras hablaba por telefono,72,adapt_fede/clip_93.npz
clip_94,armemos una lista para el supermercado,65,adapt_fede/clip_94.npz
clip_96,me duele la espalda de tanto estar sentado,66,adapt_fede/clip_96.npz
clip_97,cargue nafta y revise las gomas del auto,67,adapt_fede/clip_97.npz
clip_99,hace mucho que no me tomo unas vacaciones,69,adapt_fede/clip_99.npz
