titulo,clip,estado,ratio_deteccion,n_frames,texto
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0000,ok,1.000,413,bueno amigos esta es una anecdota muy especial porque es un gran recuerdo y la apuesta es que creo haberla contado alguna vez y en mixer creo que fue entonces se perdieron mucho las transmisiones incluso se perdio la de duki y neo pero creo que habia que darla con detalles con fotos de como fue el viaje y demas
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0001,ok,1.000,350,les comento los pongo en contexto argentina seleccion 2014 el maestro sabela al frente de la seleccion argentina parecia que nos daba molidos mangos en la primera ronda todos se acuerdan del partido con iran que nos salva messi
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0002,ok,1.000,258,cuestion yo voy a ser sincero yo tampoco tenia tanta fe en la seleccion lo bancaba sabela pero habia cositas que no me gustaban bueno como somos los argentinos en eso tengo que ser honesto
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0003,ok,1.000,123,cuestion que jugabamos con holanda nos juntabamos todos los beider a ver el partido
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0004,ok,1.000,181,estabamos en la casa de amilcar ya antes del partido me decian no porque vos momo que toque el otro dale gero que la concha de tu madre bueno
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0005,ok,1.000,82,yo discutiendo con juancito que los dos siempre discutiamos
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0006,ok,1.000,177,entonces contra holanda me dice hagamos una cosa si le ganamos a holanda nos vamos a brasil a ver la final
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0007,ok,1.000,299,entonces yo agarro y digo si porque yo no creia que le vayamos a ganar a holanda acuerdense que ese holanda fue el que hizo el gol de palomita no me acuerdo robben no si creo que fue el gol de robben
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0008,ok,1.000,227,tenian tenian una maquina increible holanda van persie cuestion que le digo no tengo si bueno si le digo si dale si le ganamos a holanda vamos a brasil
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0009,ok,1.000,267,yo la tire por tirarla bueno entonces vamos a penales cuando ganamos todos obviamente festejando que se yo y me dice no vamos a tener que ir a brasil
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0010,ok,1.000,84,bueno si esta bien yo siempre que digo algo lo cumplo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0011,ok,1.000,185,lo miro a amilcar y bueno nos vamos a brasil bueno nos vamos a brasil ya arranco como la mierda estabamos en los de amilcar claro cuando vimos todo eso todo empezo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0012,ok,1.000,124,empezamos a buscar pasaje empezamos a buscar pasaje que si que no vamos a brasil que no vamos a brasil que esto que lo otro bueno no vamos a brasil
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0013,ok,1.000,230,bueno empezamos a sacar cuentas no vamos a comprar el aereo bueno cuando digo no ya esta todo agotado no hay nada no hay nada para para para irnos
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0014,ok,1.000,168,aparece la hermana de amilcar y dice encontre un vuelo nos manda el link yo como un pelotudo agarro ni mire
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0015,ok,1.000,180,ponele que el partido era miercoles 24 y el lunes podiamos volar entonces era el lunes 22
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0016,ok,1.000,172,lunes 22 martes 23 martes 23 miercoles 24 lunes 22 entonces buscamos para sacar el lunes 22 miro asi lunes 22 voy compro el pasaje
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0017,ok,1.000,119,pum termino el pasaje era ponele nosotros estabamos jugando el mundial no me acuerdo fue en junio ponele
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0018,ok,1.000,95,el pasaje era el lunes 22 de octubre
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0019,ok,0.964,115,cuando me llega la notificacion de que compre un pasaje boludo compre un pasaje en octubre
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0020,ok,1.000,248,todos cagandose de risa sos un pelotudo y luciano hablando luciano me miraba y me decia lulo el de la anecdota me decia oh brasil temporada baja hermoso
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0021,ok,1.000,188,vos sos pelotudo luciano y yo lulo luciano le digo hermoso las pelotas boludo acabo de comprar me acabo de meter no se cuantos miles de pesos en el orto boludo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0022,ok,1.000,142,no brasil en temporada baja hermoso vos sos un tarado le digo ahora que mierda hago en el pasaje no me van a devolver la plata
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0023,ok,0.991,88,hermoso en temporada baja anda la concha de tu madre luciano y vos sos un tarado
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0024,ok,1.000,111,bueno a todo esto todos cagandose de risa de que ya habia gastado 15000 20000 pesos al pedo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0025,ok,0.951,152,ya empece a hacer el reclamo denuncie que la tarjeta la habia perdido que me hicieron el pitching no se que mierda
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0026,ok,1.000,145,cagando la puteada a la hermana de amilcar le digo veronica como me vas a mandar un link de un pasaje en octubre cuando te doblan junio
