caso_seleccionado,clip_id,start,end,transcripcion_turbo,transcripcion_small,transcripcion_large
4,11,93.64,98.5,Estoy convencido de que él lo debe sufrir hasta incluso más que cualquier raci. Racingista.,convencido de que él lo debe sufrir hasta incluso más que cualquier racingista,Estoy convencido de que él lo debe sufrir hasta incluso más que cualquier racinguista.
5,13,109.58,113.94,"Entonces, por más que me duela por lo que es costas...",entonces por más que me duele por lo que es costas,"Entonces, por más que me digan que no, no lo sé. Me duela por lo que es Costas."
6,17,136.96,147.36,"Entraste porque... De milagro estaba adelantado un hombro del ecuatoriano Duracán porque se combinaron 10 millones de resultados. Diste lástima, Racing.",porque de milagro estaba adelantado un hombro del ecuatoriano de Uracán porque se combinaron 10 millones de resultados diste lástima Racing,"Entraste porque de milagro estaba adelantado... Un hombro del ecuatoriano de Huracán porque se combinaron 10 millones de resultados. Diste lástima, Racing."
10,29,244.26,254.58,A Milito lo vamos a criticar. Pero hasta el último día Milito llegó a Racing con Racing campeón en la Copa Sudamericana. Y hoy Milito está,"Milito lo vamos a criticar pero hasta el último día Milito llegó a Racing con Racing, campeón en la Copa Subamericana y hoy Milito está","Milito lo vamos a criticar, pero hasta el último día Milito llegó a Racing con Racing campeón en la Copa. ¿Qué va a pasar? Y hoy Milito está"
14,50,411.3,421.58,Kostal no quiere poner a Vergara refuerzo. Con Egney suplente hoy de un pibe que claramente no está el,no quiere poner a bregar refuerzo con Ignis suplente hoy de... de un pibes que claramente no... no está el,no quiere poner a Vergara refuerzo. Con él ni suplente hoy de un pibe que claramente no está el
24,83,692.74,701.24,¿Qué los voy a empezar a nombrar ahora? Vergara no puede jugar más en Racing. Con Edni no puede jugar más en Racing. Toto Fernández no puede jugar más en Racing. O no podrían haber venido nunca a Racing.,los voy a empezar a nombrar ahora a ver qué no pueden jugar más en Racing con Igni no pueden jugar más en Racing Toto Fernández no pueden jugar más en Racing o no pueden haber venido nunca a Racing,lo voy a empezar a nombrar ahora verdad no puede jugar más en racing con él ni lo puede jugar más en racing todo fernández no puede jugar más en racing o no podrían haber venido nunca racing
33,94,774.34,784.62,Que se banque. Que lo van a putear a Milito. Porque yo estoy sentado acá. Y estoy diciendo esto de Costa. Y estoy convencido que hay un montón de gente. Que no piensa lo mismo que yo. Se la tiene que bancar Milito.,que se banque que lo van a putear a Medito porque yo estoy sentado acá y estoy haciendo esto de Costa estoy convencido que hay un montón de gente que no piensa lo mismo que yo se la tiene que bancar a Medito,se banque que lo van a putear a milito pues yo estoy sentado acá y estoy siendo esto de costa estoy convencido que hay un montón de gente que no piensa lo mismo que yo se la tiene que bancar ministro
34,95,785.44,793.22,Porque para gobernar. Hay que tener pelotas. Las pelotas que tuvo el otro día. Cuando salió después de la cancha de central. Ahora las tiene que tener.,porque para gobernar hay que tener pelotas las pelotas le tuvo el otro día cuando salió después de la cancha de central ahora las tiene que tener,para gobernar hay que tener peludo y no hay que ganar el partido
35,97,801.0,811.22,Que este es. Su Racing en parte. Pero entiendan perfectamente. A donde estoy yendo. Ya está. No hay excusas. Ahora armá tu equipo. Con tu técnico.,este es su Racing en parte pero entiendan perfectamente a donde estoy yendo ya estaba no hay excusa ahora armad tu equipo con tu técnico,sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí sí
42,117,948.14,953.94,No. No. No. No. No. No. No.,me gole que ramaravilla la puta que lo parió pero gente,"Me voy a querer la maravilla, la puta que lo parió. Pero gente,"
43,119,960.66,963.92,No. No. No.,mal y lo vengo contando hace tiempo que racing está haciendo,mal. Y lo vengo contando hace tiempo que Racing está haciendo las
