job_id,video_id,safe_video_id,part_index,part_count,job_kind,status,clips_eligible,main_clips,context_clips,estimated_chars,prompt_path,input_jsonl_path,raw_output_path,validated_path,applied_at,chat_url,error,updated_at
video_h3HtBhArO1Q__part_008,h3HtBhArO1Q,h3HtBhArO1Q,8,9,part,pending,7,7,3,11139,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_h3HtBhArO1Q__part_008_prompt.md,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_h3HtBhArO1Q__part_008_input.jsonl,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\raw_outputs\video_h3HtBhArO1Q__part_008_raw.jsonl,,,,,2026-07-08T13:53:31Z
video_eqw0QM4A0oA__part_003,eqw0QM4A0oA,eqw0QM4A0oA,3,4,part,pending,7,7,3,11492,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_eqw0QM4A0oA__part_003_prompt.md,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_eqw0QM4A0oA__part_003_input.jsonl,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\raw_outputs\video_eqw0QM4A0oA__part_003_raw.jsonl,,,,,2026-07-08T13:53:31Z
video_q94HfK07DjI__part_002,q94HfK07DjI,q94HfK07DjI,2,3,part,pending,10,10,3,12180,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_q94HfK07DjI__part_002_prompt.md,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_q94HfK07DjI__part_002_input.jsonl,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\raw_outputs\video_q94HfK07DjI__part_002_raw.jsonl,,,,,2026-07-08T13:53:31Z
video_VpCoTQ9073o__part_002,VpCoTQ9073o,VpCoTQ9073o,2,3,part,pending,9,9,3,14789,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_VpCoTQ9073o__part_002_prompt.md,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_VpCoTQ9073o__part_002_input.jsonl,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\raw_outputs\video_VpCoTQ9073o__part_002_raw.jsonl,,,,,2026-07-08T13:53:31Z
video_OrwtPwftIi4__part_004,OrwtPwftIi4,OrwtPwftIi4,4,5,part,pending,18,18,3,18434,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_OrwtPwftIi4__part_004_prompt.md,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_OrwtPwftIi4__part_004_input.jsonl,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\raw_outputs\video_OrwtPwftIi4__part_004_raw.jsonl,,,,,2026-07-08T13:53:31Z
video_YYIVFA000BI__part_005,YYIVFA000BI,YYIVFA000BI,5,6,part,pending,26,26,3,22113,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_YYIVFA000BI__part_005_prompt.md,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_YYIVFA000BI__part_005_input.jsonl,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\raw_outputs\video_YYIVFA000BI__part_005_raw.jsonl,,,,,2026-07-08T13:53:31Z
video_EhYznjqlcKY__part_002,EhYznjqlcKY,EhYznjqlcKY,2,3,part,pending,34,34,3,33794,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_EhYznjqlcKY__part_002_prompt.md,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_EhYznjqlcKY__part_002_input.jsonl,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\raw_outputs\video_EhYznjqlcKY__part_002_raw.jsonl,,,,,2026-07-08T13:53:31Z
video_j4x2GC1Ztro__part_004,j4x2GC1Ztro,j4x2GC1Ztro,4,5,part,pending,65,65,3,56123,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_j4x2GC1Ztro__part_004_prompt.md,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_j4x2GC1Ztro__part_004_input.jsonl,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\raw_outputs\video_j4x2GC1Ztro__part_004_raw.jsonl,,,,,2026-07-08T13:53:31Z
video_ITovsJg-q5c__part_006,ITovsJg-q5c,ITovsJg-q5c,6,7,part,pending,79,79,3,63359,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_ITovsJg-q5c__part_006_prompt.md,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_ITovsJg-q5c__part_006_input.jsonl,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\raw_outputs\video_ITovsJg-q5c__part_006_raw.jsonl,,,,,2026-07-08T13:53:31Z
video_jgp8WZvtkWU__part_004,jgp8WZvtkWU,jgp8WZvtkWU,4,5,part,pending,92,92,3,73914,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_jgp8WZvtkWU__part_004_prompt.md,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_jgp8WZvtkWU__part_004_input.jsonl,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\raw_outputs\video_jgp8WZvtkWU__part_004_raw.jsonl,,,,,2026-07-08T13:53:31Z
