job_id,video_id,safe_video_id,part_index,part_count,job_kind,dataset_group,source_id,title,channel,source_url,clips_eligible,main_clips,context_clips,estimated_chars,prompt_path,input_jsonl_path,raw_output_path,status,created_at,notes
video_9k48Da7vkzE,9k48Da7vkzE,9k48Da7vkzE,,1,full,argentina/existing,f03__AZZARO_REACCI_N_-_RIVER_A_LA_FINAL_LE_GAN_1-0_A,"AZZARO REACCIÓN - RIVER, A LA FINAL LE GANÓ 1-0 A",f03,https://www.youtube.com/watch?v=9k48Da7vkzE,195,195,0,185197,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_9k48Da7vkzE_prompt.md,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_9k48Da7vkzE_input.jsonl,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\raw_outputs\video_9k48Da7vkzE_raw.jsonl,pending,2026-07-08T13:53:31Z,
video_ChceWp7jwCA__part_000,ChceWp7jwCA,ChceWp7jwCA,0,5,part,argentina/existing,f07__DAVOO_XENEIZE_OPINA_DE_BOCA_0_UNIVERSIDAD_CATOLICA,DAVOO XENEIZE OPINA DE BOCA 0 UNIVERSIDAD CATOLICA,f07,https://www.youtube.com/watch?v=ChceWp7jwCA,156,156,3,159799,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_ChceWp7jwCA__part_000_prompt.md,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_ChceWp7jwCA__part_000_input.jsonl,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\raw_outputs\video_ChceWp7jwCA__part_000_raw.jsonl,pending,2026-07-08T13:53:31Z,
video_ChceWp7jwCA__part_001,ChceWp7jwCA,ChceWp7jwCA,1,5,part,argentina/existing,f07__DAVOO_XENEIZE_OPINA_DE_BOCA_0_UNIVERSIDAD_CATOLICA,DAVOO XENEIZE OPINA DE BOCA 0 UNIVERSIDAD CATOLICA,f07,https://www.youtube.com/watch?v=ChceWp7jwCA,156,156,6,159539,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_ChceWp7jwCA__part_001_prompt.md,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_ChceWp7jwCA__part_001_input.jsonl,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\raw_outputs\video_ChceWp7jwCA__part_001_raw.jsonl,pending,2026-07-08T13:53:31Z,
video_ChceWp7jwCA__part_002,ChceWp7jwCA,ChceWp7jwCA,2,5,part,argentina/existing,f07__DAVOO_XENEIZE_OPINA_DE_BOCA_0_UNIVERSIDAD_CATOLICA,DAVOO XENEIZE OPINA DE BOCA 0 UNIVERSIDAD CATOLICA,f07,https://www.youtube.com/watch?v=ChceWp7jwCA,156,156,6,159176,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_ChceWp7jwCA__part_002_prompt.md,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_ChceWp7jwCA__part_002_input.jsonl,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\raw_outputs\video_ChceWp7jwCA__part_002_raw.jsonl,pending,2026-07-08T13:53:31Z,
video_ChceWp7jwCA__part_003,ChceWp7jwCA,ChceWp7jwCA,3,5,part,argentina/existing,f07__DAVOO_XENEIZE_OPINA_DE_BOCA_0_UNIVERSIDAD_CATOLICA,DAVOO XENEIZE OPINA DE BOCA 0 UNIVERSIDAD CATOLICA,f07,https://www.youtube.com/watch?v=ChceWp7jwCA,157,157,6,159653,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_ChceWp7jwCA__part_003_prompt.md,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_ChceWp7jwCA__part_003_input.jsonl,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\raw_outputs\video_ChceWp7jwCA__part_003_raw.jsonl,pending,2026-07-08T13:53:31Z,
video_ChceWp7jwCA__part_004,ChceWp7jwCA,ChceWp7jwCA,4,5,part,argentina/existing,f07__DAVOO_XENEIZE_OPINA_DE_BOCA_0_UNIVERSIDAD_CATOLICA,DAVOO XENEIZE OPINA DE BOCA 0 UNIVERSIDAD CATOLICA,f07,https://www.youtube.com/watch?v=ChceWp7jwCA,161,161,3,159823,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_ChceWp7jwCA__part_004_prompt.md,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_ChceWp7jwCA__part_004_input.jsonl,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\raw_outputs\video_ChceWp7jwCA__part_004_raw.jsonl,pending,2026-07-08T13:53:31Z,
video_EKVYAG_I44g__part_000,EKVYAG_I44g,EKVYAG_I44g,0,2,part,argentina/existing,f11__Entrevista_completa_por_mi_libro_Franco_con_Diego,Entrevista completa por mi libro Franco con Diego,f11,https://www.youtube.com/watch?v=EKVYAG_I44g,152,152,3,159524,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_EKVYAG_I44g__part_000_prompt.md,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_EKVYAG_I44g__part_000_input.jsonl,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\raw_outputs\video_EKVYAG_I44g__part_000_raw.jsonl,pending,2026-07-08T13:53:31Z,
video_EKVYAG_I44g__part_001,EKVYAG_I44g,EKVYAG_I44g,1,2,part,argentina/existing,f11__Entrevista_completa_por_mi_libro_Franco_con_Diego,Entrevista completa por mi libro Franco con Diego,f11,https://www.youtube.com/watch?v=EKVYAG_I44g,129,129,3,133612,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_EKVYAG_I44g__part_001_prompt.md,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_EKVYAG_I44g__part_001_input.jsonl,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\raw_outputs\video_EKVYAG_I44g__part_001_raw.jsonl,pending,2026-07-08T13:53:31Z,
video_EhYznjqlcKY__part_000,EhYznjqlcKY,EhYznjqlcKY,0,3,part,argentina/new_discovery,nd__EhYznjqlcKY,Guido Di Tella con Juan Carlos de Pablo - DiFilm (1998),archivodichiara,https://www.youtube.com/watch?v=EhYznjqlcKY,179,179,3,159526,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_EhYznjqlcKY__part_000_prompt.md,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_EhYznjqlcKY__part_000_input.jsonl,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\raw_outputs\video_EhYznjqlcKY__part_000_raw.jsonl,pending,2026-07-08T13:53:31Z,
video_EhYznjqlcKY__part_001,EhYznjqlcKY,EhYznjqlcKY,1,3,part,argentina/new_discovery,nd__EhYznjqlcKY,Guido Di Tella con Juan Carlos de Pablo - DiFilm (1998),archivodichiara,https://www.youtube.com/watch?v=EhYznjqlcKY,179,179,6,159587,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_EhYznjqlcKY__part_001_prompt.md,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_EhYznjqlcKY__part_001_input.jsonl,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\raw_outputs\video_EhYznjqlcKY__part_001_raw.jsonl,pending,2026-07-08T13:53:31Z,
video_EhYznjqlcKY__part_002,EhYznjqlcKY,EhYznjqlcKY,2,3,part,argentina/new_discovery,nd__EhYznjqlcKY,Guido Di Tella con Juan Carlos de Pablo - DiFilm (1998),archivodichiara,https://www.youtube.com/watch?v=EhYznjqlcKY,34,34,3,33794,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_EhYznjqlcKY__part_002_prompt.md,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_EhYznjqlcKY__part_002_input.jsonl,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\raw_outputs\video_EhYznjqlcKY__part_002_raw.jsonl,pending,2026-07-08T13:53:31Z,
video_EuSM3LscaWI__part_000,EuSM3LscaWI,EuSM3LscaWI,0,3,part,argentina/new_discovery,nd__EuSM3LscaWI,Marcos Galperin | La vida del emprendedor | Aprender de Grandes #072,Aprender de Grandes,https://www.youtube.com/watch?v=EuSM3LscaWI,197,197,3,159465,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_EuSM3LscaWI__part_000_prompt.md,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_EuSM3LscaWI__part_000_input.jsonl,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\raw_outputs\video_EuSM3LscaWI__part_000_raw.jsonl,pending,2026-07-08T13:53:31Z,
video_EuSM3LscaWI__part_001,EuSM3LscaWI,EuSM3LscaWI,1,3,part,argentina/new_discovery,nd__EuSM3LscaWI,Marcos Galperin | La vida del emprendedor | Aprender de Grandes #072,Aprender de Grandes,https://www.youtube.com/watch?v=EuSM3LscaWI,195,195,6,159365,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_EuSM3LscaWI__part_001_prompt.md,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\video_jobs\video_EuSM3LscaWI__part_001_input.jsonl,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_cleaning_clean_v1\raw_outputs\video_EuSM3LscaWI__part_001_raw.jsonl,pending,2026-07-08T13:53:31Z,
